T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts	ABLIM1	CSTB	MAL2	SLPI	FANCB	IFT57	KIF11	PPEF1
ec347	9.3533446	8.651975	8.939105	7.7564165875	7.7509787	9.90035933333333	8.19793356666667	9.65956228888889	9.02134787083333	12.8144180625	13.271344	14.762923	14.238695	13.842115	9.833624	6.354556	12.164924	4.1871986
ec353	9.7537067625	9.508051	7.919874	7.897706675	7.750499	10.3386699166667	7.8734158	9.66881285555556	8.89462534583333	13.2702415625	12.381254	13.961364	13.660387	13.973383	10.949107	8.438565	12.786056	5.6691213
ec355	10.2479093	10.570999	8.01606656666667	8.0716319875	8.02305686	10.7921384166667	9.61109333333333	9.0966243	9.45468265	13.67439925	12.070999	14.517157	13.736945	14.172084	9.377568	7.3427534	11.719287	6.614704
ec361	9.685901625	8.677746	9.56448136666667	8.33639375	7.18410282	11.4453656166667	9.18760966666667	9.1785497	10.0821313708333	14.2135285	11.534692	14.218354	13.245716	13.57156	10.069304	7.466443	11.739353	5.517779
ec362	8.2129019125	9.415	8.15624266666667	7.5463203875	7.68374122	9.08916818333333	6.54046033333333	9.35347911111111	8.605741625	12.88189025	10.080124	13.805788	13.420591	10.374142	11.321441	7.13313	12.586104	4.9492273
ec365	10.345251375	11.211487	8.70536466666667	8.3315571875	8.37094932	11.4045605	8.77268016666667	8.55351646666667	9.23503709166667	13.882401875	10.921578	13.520172	11.804277	9.594562	10.455641	6.4514246	11.877188	7.6080804
ec366	9.288625175	10.782696	7.41586236666667	7.7012254625	7.26192552	9.9293283	10.5130343333333	8.16268692222222	8.24093704583333	12.2809303125	10.890319	13.634232	13.145517	8.737793	11.127551	8.081842	12.815909	4.1137505
ec367	9.37086465	10.879008	7.406669	7.7556253	7.40231852	10.214695	8.19427066666667	8.47004508888889	9.36992528333333	13.282339875	11.300016	15.084414	13.986477	14.040028	11.374284	8.218581	13.561808	3.6906896
ec370	9.4588413125	9.671433	7.9269	8.3255106875	7.5093548	11.0258448333333	9.33498466666667	9.62817483333333	9.6009509	13.865685125	13.287277	14.613139	14.307855	14.324525	9.300045	6.9971166	11.470755	4.940188
ec371	8.7318618375	8.09777	8.91251316666667	7.6675622625	7.82463168	10.4748252833333	6.83992723333333	10.7771536444444	9.961169125	14.5234555625	10.820713	14.917499	14.245523	13.025195	10.605139	7.7916226	11.944985	6.403617
ec373	9.7411818125	9.527148	8.295428	7.769328125	7.92284304	10.60940655	8.0509408	9.74499582222222	9.58442478333333	13.530523625	13.047532	15.581877	14.543701	14.719873	9.677009	7.356528	12.094626	3.9411848
ec374	9.2152367125	11.615699	7.677228	7.519556375	7.34616678	10.06132695	8.26758416666667	8.24549166666667	7.76197465416667	13.1759449375	12.339713	12.942716	13.539482	8.021261	9.156381	6.673101	11.996311	4.7689285
ec375	8.8247973125	12.281361	6.47056176666667	7.2701181625	7.3751512	10.1668683333333	7.51086023333333	7.10087042222222	9.38206880833333	13.031424	10.022602	13.346525	13.350769	8.435148	10.283445	8.878761	11.963832	4.2533126
ec406	8.476976175	9.372096	6.8399471	7.511210775	7.7492738	9.38768566666667	8.179761	9.09042166666667	8.99856014583333	13.6142211875	12.839115	14.66444	14.302716	14.39316	9.729437	6.058317	11.756788	4.242702
ec407	10.485122925	10.009988	8.52453116666667	8.8479220875	7.80286084	10.9300042166667	8.29331213333333	9.57410577777778	9.3344374375	12.8395405625	11.843971	14.863902	14.325004	14.536982	9.784028	6.3749976	12.610851	4.3545475
ec408	9.144980175	9.305253	9.1894257	8.6720442875	7.94493846	10.9992896666667	7.7095986	9.43257161111111	9.16769845	13.563660875	11.675464	14.300817	13.452835	14.508011	10.558642	7.300922	12.1345825	4.826675
ec409	8.083453525	7.7251077	7.13203033333333	8.2584362875	7.681215	9.6854765	8.31380876666667	8.64431517777778	8.57159735	12.80593125	12.565504	14.1497345	14.324525	14.050707	11.66355	8.021619	12.728275	5.221961
ec376	9.9770848375	9.783496	7.774833	9.1545253875	7.774403	10.8892745	8.435453	9.0562363	8.95527394583333	13.3111200625	12.517768	14.137919	13.649563	11.245408	9.815841	5.9937882	12.071482	5.336389
ec378	9.5434842625	9.111867	7.93405466666667	8.6878866375	8.00460334	10.9394304333333	8.3314135	10.5148953333333	10.0089501541667	13.1835351875	12.452126	15.312932	14.707843	15.487171	10.217508	6.458189	11.737201	4.8064218
ec380	10.636518125	9.871146	8.81128666666667	11.74414775	8.28416526	11.0758368333333	8.17319793333333	9.40506018888889	9.251121925	13.418710875	12.714292	14.6617	14.243563	13.5854	10.350677	6.9829984	12.240401	4.6148324
ec381	9.5991358	10.722156	7.75254866666667	7.834295375	7.44836704	10.8828436666667	6.94122456666667	8.43463436666667	9.30056762916667	13.7504308125	12.81217	14.835266	14.341727	14.571156	9.994544	7.6883264	11.849314	4.4656653
ec382	9.23887595	9.269462	9.49860933333333	8.1674562	7.5860544	11.2548509333333	8.1452659	9.61974823333333	9.52662689583333	14.051808625	11.162343	14.717723	14.564806	13.451953	10.119549	5.8956513	12.077928	6.5125446
ec385	9.21157925	9.943834	7.390668	7.5492566	7.96001782	10.2450625	8.620636	9.03584694444444	8.57721203333333	13.25840175	12.386979	14.753576	14.265929	13.644486	10.398739	6.041257	12.533244	3.99029
ec391	9.704959075	10.161745	9.65392466666667	8.5293533625	8.6112908	11.6771025	8.14097266666667	9.74516714444444	9.86610925	13.93482975	10.692991	13.839565	13.789288	12.405602	10.189663	6.678831	11.140329	6.0930486
ec392	8.2129044125	9.9704485	5.5414936	7.4319147375	7.85087428	9.54807351666667	7.51958666666667	9.29314075555556	9.20605400416667	13.139325375	13.49274	14.637068	14.203316	15.335497	9.3978195	6.094285	12.356108	4.164248
ec393	8.27879095	8.918427	7.44421596666667	7.6443816625	7.78231972	9.79574291666667	8.6536929	8.8862016	8.64008245	13.2365895	12.720739	15.375481	14.547532	14.334513	11.021278	7.2034903	11.922615	4.5508223
ec396	8.9382504375	9.357708	8.5419672	8.0139328625	7.7430004	10.0743190833333	7.30590513333333	9.60118217777778	8.77538468333333	13.63795025	12.432166	14.45073	13.645169	13.460636	10.901023	7.018171	11.970931	3.9200082
ec398	10.6077578	11.91961	9.12287566666667	8.7863875	8.570731	11.4179182166667	8.9868652	9.27890955555556	9.1302669	13.5709628125	11.708986	14.613139	14.065475	13.446363	10.900883	6.996834	12.405602	4.5760865
ec400	9.23158315	9.540413	7.68798166666667	8.061938075	7.7898076	9.9130915	7.49094256666667	9.16517861111111	9.08718947083333	12.9913498125	11.772085	14.084408	13.287561	13.236748	10.906447	5.8878207	12.579069	5.0438337
ec402	9.46649825	11.622574	8.8957049	8.0560289	7.71273158	10.0267721666667	7.87483256666667	8.83472122222222	8.51725639583333	13.879236875	12.911672	13.901484	14.581083	13.9247465	10.1249275	6.7731805	11.855037	4.028837
ec403	8.974317725	9.224853	8.25657453333333	7.7939742375	7.68532666	10.5727011666667	7.32822866666667	9.74592138888889	9.5822323875	14.199732625	10.601185	13.914286	14.291303	12.020049	11.323251	6.1365504	12.229775	4.9753385
ec404	8.0363546375	8.42821	6.63772	7.8335921875	8.5267927	9.81570825	7.04937543333333	9.7723774	9.67337717916667	12.367279375	13.913523	16.00943	15.181444	15.499541	9.6737385	6.2790756	12.485559	3.4618678
ec405	9.4567758375	9.631437	8.98347633333333	7.5609982	7.54162474	10.2965427166667	7.34135166666667	7.73365903333333	8.92409435	13.0911461875	8.971787	13.245716	13.361072	10.667508	11.005308	6.7715507	11.84012	4.8149066
ec224	9.64591775	8.68657	9.48317223333333	8.9024676875	7.25434412	10.7721539166667	8.95983633333333	9.6782325	9.91515722916667	14.330458375	13.427333	16.109922	13.745098	15.237652	9.44671	8.001687	12.209741	6.589006
ec225	9.83537445	8.968219	7.6119559	8.293403875	7.04407616	11.6049013333333	10.2856103333333	8.8342349	9.94778547916667	14.15761	11.577194	13.998449	14.084344	13.597687	9.801046	7.6930513	13.071874	7.164871
ec226	9.9346569625	9.296921	9.39354483333333	8.3507628375	6.9807348	12.0044603333333	9.75810666666667	8.91592908888889	10.106485625	14.6457375625	11.103274	13.78973	12.839799	14.841605	9.76481	7.874141	12.050737	7.7336254
ec227	11.47761075	11.56669	9.69957833333333	10.825321625	7.9166567	12.6141888333333	10.526984	10.0250195111111	10.4383248125	13.65143825	12.819221	15.296048	14.262921	15.16405	8.68463	7.655283	11.897513	5.031543
ec251	10.500138875	9.573835	7.89077743333333	8.7325028625	7.04373782	12.0500566666667	9.24803253333333	9.88832586666667	9.96955583333333	13.91400725	12.124499	14.450917	12.543561	14.738602	9.627691	7.294755	12.247353	6.652886
ec253	11.10298075	10.689337	10.0734015333333	9.89217475	7.20622888	11.4541266666667	10.6646	9.73543983333333	9.81975462083333	13.738147875	12.941758	14.474319	11.666576	13.175984	10.59833	9.064741	13.506799	8.74819
ec256	10.545278675	11.486387	8.19487113333333	10.526660625	7.24986188	11.6833627666667	9.09518566666667	9.65974825555556	9.29917246666667	13.0310048125	12.340685	14.547186	13.430141	13.885693	9.796717	7.6375375	13.088513	5.5682526
ec258	10.58148125	10.53237	8.75422616666667	9.8433335	7.55646468	11.4089873333333	9.81530026666667	9.50748458888889	9.58647901666667	13.59494625	12.353569	13.516009	12.545714	13.002332	11.289188	8.213942	14.264949	10.906458
ec259	10.5973105	10.575556	10.9701646666667	8.4478403	6.88588148	11.8482044166667	9.78304133333333	7.96470236666667	10.0131661041667	13.8240678125	9.896278	13.528984	11.429723	10.981148	10.236667	9.439086	13.001778	8.217444
ec260	10.527995	10.892843	8.79967933333333	8.8306546	7.20879108	12.5981945833333	9.95329133333333	10.2966883111111	10.5102633541667	14.81121325	11.3768	14.9357	13.900462	14.8543415	9.389452	8.084927	12.955722	7.5951867
ec261	9.5327911875	8.414441	8.08775366666667	7.8118974625	6.70469176	11.8189823333333	9.12004533333333	9.94097194444444	10.4245400208333	14.004528125	12.991998	14.527514	11.860833	12.415286	10.773877	8.185093	13.14934	8.473114
ec262	10.916831	10.893881	10.6667356666667	9.894880125	7.6408745	12.8361198333333	9.83634833333333	9.86800628888889	10.1786110583333	13.826899125	11.670622	14.300954	12.3641815	14.217619	10.343685	7.532988	13.115807	7.0804863
ec264	10.6807454375	10.154986	10.5277833333333	10.45457925	7.21008314	11.77564075	9.71097666666667	9.16718622222222	10.1696780833333	13.5723234375	12.618626	13.867009	13.262398	13.378453	9.601901	8.326529	12.843523	6.561513
ec265	10.621259875	10.203098	9.40882233333333	9.296338	8.05294224	12.265174	9.654279	9.79856288888889	10.3880777958333	14.316949375	12.288638	14.521639	12.990498	14.899137	9.491252	7.906308	12.479302	5.856901
ec266	10.1302623125	9.068164	9.63310376666667	8.7576091875	7.17215394	11.6402129166667	9.75646833333333	9.2817413	10.3189702708333	14.329419625	12.83844	13.355364	12.920057	14.745445	10.707189	8.499325	13.20671	8.26416
ec269	10.97323785	12.246399	8.22342956666667	9.9507327875	7.26037984	11.32149145	8.8334145	8.49258226666667	9.71423970833333	13.478707	12.918224	13.432385	12.722295	13.306855	11.082337	8.818417	14.018727	5.905949
ec273	10.8789942875	10.67673	11.783515	10.1506146875	7.64011872	11.3065223333333	10.3670771666667	10.1535449777778	9.716573675	12.7491968125	13.210542	16.044226	13.747333	15.386744	10.6357765	6.7062173	12.504224	4.972338
ec274	10.37838225	9.166498	8.18609513333333	10.10284925	7.70636832	11.4553631666667	9.78130866666667	10.3362711444444	10.0888552583333	13.786563	14.276234	15.330202	14.137614	15.090125	10.326118	8.007472	12.935833	8.5137005
ec275	9.9776765625	9.152937	7.79350833333333	8.4982728	7.4684506	12.1769984166667	8.80854733333333	9.1526788	9.93790785833333	13.822087375	10.9953785	14.62639	12.710992	15.041266	10.254211	7.24533	13.493039	7.2459235
ec277	10.7214681125	13.955482	10.4417126666667	10.372877	7.66490224	12.7588018333333	9.338655	7.69512172222222	9.6976439625	13.6071288125	11.192212	13.237259	12.594761	9.72344	9.687929	8.691384	13.362873	7.1580834
ec279	10.8292193	10.157573	10.3268614666667	11.748201625	7.5205702	11.3905290833333	8.7622042	9.71806263333333	9.73862478333333	13.425043125	12.551384	14.325045	12.50673	14.502269	10.142602	7.5539355	12.447416	5.510469
ec280	10.8149079	11.0858755	9.93707456666667	9.1612986375	7.55183988	12.037852	8.83179176666667	9.0567217	9.71915828333333	14.4285026875	11.829126	14.346007	12.449933	13.329024	9.492394	7.482584	12.835997	6.940135
ec281	9.2321184875	7.622688	6.22045676666667	7.6229011375	7.11569542	10.4154758333333	8.55345123333333	8.94912056666667	9.3622471375	12.69268775	13.016253	15.179287	12.221727	14.717654	9.027048	7.1821914	11.979749	5.64617
ec284	9.720170375	9.474607	8.1908902	9.7015267	7.36846994	11.8731013333333	9.078171	9.05250946666667	9.69730854166667	14.169642375	12.99253	15.145529	15.227331	14.749773	10.305204	8.0002775	13.157657	6.294142
ec285	10.7778145	9.94055	8.62247816666667	9.571382875	7.5544478	11.8876899166667	10.0991978333333	9.77091211111111	10.493261975	14.6406425	13.069852	15.10678	13.797744	15.155753	9.514711	8.138502	11.90562	7.0845838
ec287	9.183030575	8.645888	11.1951193333333	8.47647115	7.30158906	10.0236807166667	8.75300483333333	9.04999893333333	9.74871093333333	13.308089875	12.413004	13.835875	12.896328	13.261809	11.322764	9.041547	13.192104	6.885195
ec288	11.1334625	12.191499	9.48814033333333	9.60097845	7.49475818	12.1780166666667	10.734866	9.06905043333333	9.87364482916667	13.084959875	12.014471	14.216003	13.704371	15.15325	10.607831	9.106435	13.162064	6.660691
ec29	9.225046975	8.303938	7.5857558	9.098896425	7.4078863	11.4116736333333	8.52330466666667	9.76197933333333	9.9209501	13.508384375	13.654386	16.46558	14.356954	16.044226	9.601901	7.421823	12.655512	4.6555505
ec30	9.9984965375	9.029816	7.93348283333333	7.56420885	7.73291748	11.5551713333333	8.4283377	7.24052241111111	9.37506709583333	12.8898981625	12.216995	14.480189	13.719674	12.32619	9.57791	7.8124886	12.231903	6.525307
ec68	9.65731795	8.268392	7.93109716666667	7.765151975	7.9444452	10.7798411666667	8.39462016666667	8.5264559	8.79680662916667	13.92600725	12.372273	13.701861	12.737304	10.165028	10.854485	7.838309	12.931882	6.127825
ec80	9.2146225625	8.818068	8.00858606666667	7.6198029625	7.11846658	10.3365346666667	7.45982533333333	7.7300903	8.33656828333333	13.0757218375	12.498162	15.146873	14.804759	13.400373	10.41463	6.519844	13.021558	6.659189
ec81	9.1514165125	14.15639	6.53461476666667	7.7371474875	6.96971798	9.39806371666667	8.8090493	7.475265	8.4063063375	13.266274375	11.712614	13.797198	12.549882	10.812838	11.14825	8.720713	13.051634	5.8004317
ec108	8.8387944	8.607876	9.82261223333333	9.1013139375	7.55979772	9.7592257	7.84059913333333	8.18514602222222	8.74650705	12.38714825	12.759418	14.085269	13.051845	11.749526	10.800421	6.9640565	13.17418	7.6147804
ec119	11.077597075	11.092539	7.90521336666667	9.6800321	7.6188865	11.4414569166667	9.50958533333333	8.95602158888889	9.4618763875	13.76381375	12.258508	14.40915	12.095489	14.040862	9.510547	8.707526	12.867443	4.9933143
ec120	11.1795766625	10.654734	8.769915	8.861990875	7.89751254	11.4733529333333	8.56449933333333	9.75813537777778	9.31341397916667	12.3600068125	12.711956	15.884811	13.408374	15.278078	10.02843	9.007632	12.213488	5.2301617
ec122	10.7743250375	10.494961	8.15779443333333	8.7883411625	8.01446668	12.06306775	9.87574266666667	8.92050955555556	9.18753742916667	12.091406375	12.221569	15.511748	14.138248	13.854098	11.281048	9.4549265	13.496262	4.8635116
ec131	10.3824697125	11.892907	8.54868746666667	8.210387175	7.8756539	11.9501458333333	7.90512496666667	8.16434183333333	9.08901079583333	13.3113156875	8.310809	12.9872	12.488616	13.349515	10.747853	8.35862	12.812473	3.2494555
ec132	11.2578672125	11.526366	8.5509897	10.72073625	8.0668936	13.0591683333333	10.081011	9.92558011111111	9.58981210416667	14.2456260625	11.712047	13.836966	13.094857	14.886609	8.65945	8.504471	12.934551	5.2694693
ec134	9.5800412	8.154551	8.17005043333333	8.3697590125	6.74322286	10.7731177333333	8.50911083333333	7.79449576666667	9.211855125	13.722978625	13.163576	14.862469	13.488041	12.638368	8.760273	7.1449127	10.802991	6.183411
ec135	9.81433585	13.018269	7.64731763333333	8.5914925	7.16631718	10.1024315833333	8.23589633333333	8.78373925555556	8.65659205833333	12.4719720625	11.504214	13.992685	12.433552	12.959381	10.287878	8.374041	13.510832	4.312729
ec142	8.68281455	8.049077	7.29638096666667	7.37814135	6.62838762	10.9061419333333	8.70312833333333	8.67654967777778	9.24118605	13.3978028125	14.106916	14.602393	13.843254	12.995435	9.462264	8.638802	12.805624	6.1225243
ec148	9.3257004875	7.907241	7.0679529	7.3524824	7.12760778	10.1402323333333	7.94426813333333	7.87305707777778	8.9011587875	14.217825625	12.781401	14.022985	12.963098	13.216575	9.49563	6.5584564	13.277835	7.490716
ec136	10.2473563875	9.419921	7.21793923333333	6.6403564125	7.59243706	10.8181076666667	7.33409756666667	7.95379511111111	10.1744372333333	13.725600875	11.20058	13.576005	10.974503	10.881641	11.082917	7.322482	12.430615	8.519459
ec146	9.6038855	7.682089	6.4321418	7.1458055125	7.30864408	11.59333975	9.36231146666667	9.17717858888889	9.64582302083333	13.0723185625	13.23361	15.083595	14.249863	14.190235	10.529082	7.4802823	13.078004	7.99346
ec205	10.5647898875	10.455568	9.0388011	9.753982875	7.78273196	12.5635456666667	9.54534133333333	9.24071104444444	9.94234590416667	14.4319215	12.08786	14.093399	12.703486	12.927379	10.6195345	7.1842318	12.532019	8.483106
ec206	10.76875175	9.850577	8.5618795	9.03653315	8.3119344	11.9015316666667	9.89604066666667	9.883742	10.7242453958333	14.15096025	13.0133505	16.088816	14.302591	15.687077	9.34453	7.5144935	11.561877	4.9698973
ec207	10.1298904375	9.987767	8.3008802	7.981374625	7.39746524	11.8168748	10.5536731666667	8.9314799	10.7469359791667	14.412235375	11.27688	13.01483	11.185403	12.424072	10.135934	6.9823947	12.477191	8.184054
ec208	10.1496894375	8.840427	8.39719143333333	7.8298283125	7.45290436	12.2109411666667	9.08256833333333	8.96808927777778	9.89728452083333	14.29543625	11.463337	14.645753	12.525104	12.673439	9.296921	6.9603558	12.634097	6.470203
ec210	10.3480975125	10.332208	8.36355733333333	8.924056775	7.43030916	11.7908743833333	8.472831	9.37921322222222	9.51044212916667	13.4398450625	11.531239	13.9257	12.777426	15.830739	11.504652	8.455053	12.341859	5.9576864
ec211	12.2026687125	14.457391	6.48670066666667	8.329104375	7.09281844	11.1789268333333	8.60433703333333	8.5335683	10.5025296583333	13.696736125	11.643705	13.408374	12.924541	11.321996	10.929944	9.338178	13.754404	8.1119175
ec212	11.29928875	11.332042	8.84421466666667	9.0615647125	7.87338294	12.9263713333333	10.2211848333333	8.98491375555555	10.3186051958333	14.59750775	12.117864	14.106916	12.59681	14.875498	9.539536	8.5617695	12.397858	7.2411885
ec214	11.6320460625	12.956811	9.76885233333333	9.769292475	7.83582268	12.6021255	10.3210276666667	8.52895371111111	9.8660808	14.448923125	10.8987875	13.280648	12.187471	13.283232	10.819699	9.188306	12.233426	7.0787826
ec215	10.4309028	10.150959	8.41673933333333	8.5433183125	7.22730046	11.6102468333333	10.1701308333333	8.41220948888889	9.87888883333333	13.8967970625	13.372065	13.879059	12.83844	14.753116	12.032756	8.768231	13.417523	6.7965355
ec216	10.501868825	10.056502	8.78490833333333	8.6825905125	6.79249134	12.204126	10.9093203333333	10.2230365555556	10.4270715583333	14.1314625	13.846403	15.272991	14.621136	16.412035	10.106438	8.261557	12.453577	7.843425
ec218	10.9604296875	9.880394	8.70478866666667	8.057818075	8.1703201	12.1630169166667	11.3181198333333	8.68846434444444	10.3817701125	14.345447375	11.504078	12.8475275	12.603238	14.477449	10.985679	9.120357	12.745055	9.133976
ec219	11.665153875	11.042993	10.808578	10.6181185	7.87320544	12.7983988333333	10.775223	9.83906077777778	10.5774993666667	14.60901075	12.361158	13.850953	12.542605	14.537935	9.93934	8.50355	12.470062	7.0221686
ec220	10.3959636375	8.747578	7.4169043	8.70829125	6.59166644	12.1435860833333	9.609584	10.1893938222222	10.3507417083333	14.119756375	12.504738	15.056697	13.678771	16.58852	9.744936	8.89656	11.70911	5.8586845
ec221	10.7935539375	8.906121	9.40232866666667	8.6971592	7.25018728	11.6136799166667	9.94566433333333	10.0120661111111	10.2956265791667	12.757784625	12.9993305	14.996211	13.263369	14.803294	10.836162	7.7851577	12.6696615	7.7300873
ec222	10.46798	10.108529	9.237769	8.75346475	6.9441347	12.04332875	9.91611733333333	9.22970998888889	10.0405466166667	14.29319825	12.941188	14.411336	12.646251	15.000238	10.869324	8.283611	12.565935	7.5681005
ec223	11.0593615	11.224462	9.122506	9.980939025	7.6202692	12.4415758333333	9.65383383333333	9.04153348888889	10.3043995291667	14.53854175	11.301597	13.092572	11.290546	14.235557	9.654195	9.371195	12.509321	8.115176
ec236	11.8187891875	13.60432	8.9814662	10.59264475	8.18917166	12.4202896666667	10.3729236666667	9.21123297777778	9.424984675	13.428849125	11.314073	14.486353	12.352259	15.224051	9.438948	8.601276	11.929227	4.8206573
