,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,P.value,Correlation,RMSE,group
ec11,0.044339868,0.031006047,0.030044618,0.175108412,0,0,0,0.156941104,0.116317747,0,0,0.126173626,0.016052142,0.029624737,0.080849594,0.019699861,0.017650055,0,0.149553333,0,0,0.006638855,0.061,0.172043993,1.032451737,Low
ec12,0,0,0.063024999,0.073321264,0,0.106000506,0,0.067055434,0.040327294,0,0,0.054686065,0.19204714,0.112936397,0.010089847,0,0,0.096879589,0,0.183631463,0,0,0.289,0.085159916,1.051273878,Low
ec13,0.129252562,0,0.070867562,0.25862167,0,0,0,0.126802528,0.100822374,0,0,0.078636053,0,0.04691952,0.125621979,0.026505246,0,0,0.022370602,0,0.013579904,0,0.019,0.227136882,1.017364752,Low
ec23,0.003707755,0,0,0,0,0.11180386,0,0.047953426,0.137801161,0,0,0.016087066,0.277807299,0.015437101,0.014204458,0,0.030516297,0,0,0.344681577,0,0,0.253,0.091653209,1.052544155,Low
ec25,0.132104235,0,0.005181131,0.144544661,0,0.176125889,0.001235661,0,0.208951965,0,0,0.050618458,0.013903585,0.023484134,0.10565496,0.08245912,0.0236998,0.004117119,0.027919283,0,0,0,0.005,0.283365556,0.988734673,Low
ec27,0.13126925,0,0.067195076,0.065319663,0,0.121670549,0,0.08623709,0.157560581,0,0.025616758,0.045598642,0.160516463,0.093122912,0.026493277,0,0.000961609,0,0.013707796,0,0.004730334,0,0.406,0.063266515,1.070260339,Low
ec36,0.061698862,0,0.062694199,0.179574744,0,0,0,0.081690515,0.072830839,0,0,0.033232013,0.152693496,0.038771938,0,0.063839822,0,0.068113776,0,0.184859796,0,0,0.712,0.016331975,1.070085755,Low
ec46,0.181056516,0,0.057287625,0.054273271,0,0.174772025,0,0,0.072558992,0,0.054679275,0.014500148,0.158335908,0.034071224,0,0,0,0.056261537,0,0.142203478,0,0,0.746,0.010379536,1.083218355,Low
ec49,0.030781233,0,0.133384486,0.265519206,0,0,0,0.126313106,0.096376202,0,0,0.118309324,0.049696408,0.003448218,0.059183535,0.072380301,0.016687675,0.000839246,0.027081061,0,0,0,0.03,0.204780727,1.019138656,Low
ec51,0.049119153,0,0.035052797,0.139757378,0,0,0,0.108884673,0.100784215,0.008908807,0,0.15497786,0,0.123278714,0.149284189,0.091047033,0.011581994,0.008760846,0,0,0.018562342,0,0.006,0.266138181,1.003523742,Low
ec52,0.178734694,0,0.041559609,0.071242706,0,0.039366418,0,0.071525363,0.189131396,0,0,0.032708507,0.027851672,0.164430528,0.077910566,0.045327926,0.036007762,0,0,0.017126469,0.001257133,0.005819249,0.096,0.150410874,1.039687527,Low
