,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,P.value,Correlation,RMSE,group
ec219,0.016701037,0,0.163699368,0.100178589,0,0.180222444,0.015256499,0.068824376,0,0,0,0.101054864,0.054838636,0.021373414,0.063148884,0.05170101,0.025199518,0.069088834,0,0.063282649,0.004999749,0.000430127,0,0.391220184,0.920217147,High
ec221,0.045137696,0,0.122583863,0.062036722,0,0.140256648,0.001925332,0,0.121160074,0,0,0.070246636,0.113685139,0.031848432,0.029395049,0.018905915,0.11504416,0.068668865,0,0.052460111,0,0.006645357,0.055,0.175782863,1.009672696,High
ec222,0.062380657,0,0.197825674,0.059705236,0,0.157936559,0.007933826,0,0.055998095,0,0,0.06299451,0.029910798,0.083743355,0.022351548,0.037752007,0.114522974,0.045019133,0,0.061925627,0,0,0.01,0.24790432,0.978829524,High
ec223,0.025218543,0,0.311286693,0.111164459,0,0.186705072,0,0,0.044804497,0,0,0.036779092,0.057772997,0.040554438,0.052687006,0.059524016,0.012059642,0.012996887,0.039555832,0,0.008890824,0,0,0.36936327,0.929341774,High
ec243,0,0.001698603,0.14022773,0.17344369,0,0.163963238,0.022103475,0.046711359,0,0,0,0.054998923,0.075338521,0,0.144147616,0.050984554,0.042704823,0.046244308,0,0.037433159,0,0,0.01,0.243074957,0.998328406,High
ec246,0.011167655,0,0.112846231,0.379661654,0,0,0,0.060961206,0.059910203,0.078453756,0,0.052108697,0.022735945,0.006003707,0.058259144,0.051774883,0.052339085,0.012895272,0.040882562,0,0,0,0.001,0.324969291,0.966721648,High
ec249,0.158526636,0,0.321369531,0.138717256,0,0,0,0,0.052930855,0,0,0.037447801,0.012223574,0.028457246,0.022253296,0.030201282,0.039097506,0,0,0.130415237,0.024985211,0.003374569,0.006,0.268142371,0.969940829,High
ec228,0.049764789,0.03353952,0.239487462,0.198439624,0,0.054436249,0,0.047839185,0.06171264,0.022677011,0,0.065891681,0.009830018,0,0.082141477,0.04446745,0.060095874,0,0.026012212,0,0.003664808,0,0,0.450879488,0.891623519,High
ec229,0.037793106,0,0.055568723,0.09785873,0,0.1929162,0,0.022688119,0.025373066,0,0,0.087523075,0.106103281,0.05534851,0.048474979,2.47E-05,0.215486621,0,0.007495176,0.047345735,0,0,0.028,0.208386942,1.00262417,High
ec112,0,0.043378591,0.016231369,0.077141495,0.03258022,0,0,0.139779124,0.193760864,0,0,0.174951027,0.089781614,0.016632704,0.004145892,0.102777463,0.049662496,0,0,0.059177141,0,0,0.738,0.011883238,1.112949231,High
ec117,0.021919108,0,0.118998821,0.162860085,0,0.238320187,0.052009727,0.040181478,0,0,0,0.097758292,0.050670527,0.037905377,0.034700883,0.059760636,0.009151426,0.027527835,0,0.048235617,0,0,0.071,0.165179595,1.031974526,High
ec129,0.054406665,0,0.037691186,0.267959475,0,0.013998568,0,0.146764241,0.011386772,0,0,0.080720518,0.151571554,0.04158311,0.064411368,0,0,0.030698234,0,0.098808309,0,0,0.608,0.03167299,1.089505824,High
ec201,0.008548721,0,0.048830687,0,0,0.275305392,0,0.017047454,0.062940793,0,0,0.134496173,0.139080315,0.099575548,0.031881901,0,0.107741539,0.062645602,0.011905874,0,0,0,0.127,0.133279109,1.04547023,High
ec268,0.057756943,0,0.228978617,0.08890754,0,0.098923815,0,0.016849182,0.104009804,0,0,0,0.055810252,0.021237021,0.022977323,0.003906774,0.180752198,0.053794076,0.066096455,0,0,0,0.265,0.089713844,1.032774646,High
ec9,0,0,0.279940446,0.045639676,0,0.121176117,0,0.033998831,0.017134827,0,0,0.058468701,0.153874737,0.08619563,0.02871424,0,0.126801705,0.023671917,0.008896288,0.015486885,0,0,0.348,0.072397489,1.041224626,High
ec26,0.060196128,0,0.019361029,0.15249349,0,0.051393699,0,0.0806337,0.05348214,0,0,0.179471364,0.067859095,0.009065019,0.091784032,0.049064044,0.128665264,0,0.056530995,0,0,0,0.14,0.130110383,1.056216759,High
ec28,0,0,0.082915885,0.003607611,0,0.328002813,0,0,0.003894383,0,0,0.113996242,0.06260292,0.14408999,0.013870045,0,0,0.0477076,0,0.19931251,0,0,0.502,0.046220794,1.086623532,High
ec31,0.07704988,0,0.218529105,0.163912399,0,0.069747542,0,0.04263923,0.051788165,0,0,0.06625675,0.056394618,0.042934386,0.069799199,0.01935837,0.052273285,0.03467447,0.034642601,0,0,0,0.002,0.310692496,0.954988817,High
ec32,0.007529169,0,0.042060127,0.115601205,0,0.053568709,0,0.122564952,0.111417621,0,0,0.132918307,0.122283309,0.163223376,0.026458314,0,0,0.053542988,0.048831922,0,0,0,0.151,0.125717611,1.05261032,High
ec42,0.006426597,0,0,0.045378143,0,0.344653553,0.094272996,0,0,0,0.015788633,0,0.014645816,0.022673358,0.029664494,0.146563592,0.015773621,0,0,0.264159199,0,0,0.053,0.180677738,1.01974267,High
ec45,0.198961224,0,0.043335579,0.141942087,0,0.047649186,0,0.058550072,0.136037991,0,0,0.004183027,0,0.190977776,0.001707292,0.063555789,0.003878209,0,0.109221766,0,0,0,0.62,0.03022126,1.090156627,High
ec60,0,0.02090162,0.046318015,0.304750072,0,0,0,0.167410759,0.104815925,0,0,0.136317801,0.01943413,0.061294627,0.070107852,0.008840207,0.05431231,0,0.005190835,0.000305847,0,0,0.051,0.183134934,1.051605652,High
ec71,0,0.001477928,0.06821697,0.154313066,0,0.152481263,0,0.01322118,0.087775675,0,0,0.070574038,0.06738502,0.119975066,0.063139792,0.012398436,0.038668525,0.039084698,0,0.110962158,0.000326185,0,0.038,0.197296933,1.015195547,High
ec73,0.026761684,0,0.007920889,0.302365891,0,0,0,0.110837006,0.042569761,0.062286144,0,0.135092486,0.008597398,0.006347914,0.077818032,0.048597498,0.00327582,0.153674782,0.013854694,0,0,0,0.005,0.283191289,1.017686091,High
ec74,0.181452468,0,0.010872195,0.026583329,0.054725688,0.046828175,0,0.036716678,0.103027155,0,0,0.16763469,0.090433781,0.150713505,0,0.041528621,0.053268617,0,0.030194247,0,0.00602085,0,0.672,0.022776209,1.105866806,High
ec76,0.069158065,0,0.078089777,0.192113009,0,0.083626244,0.089734596,0,0.00834752,0,0,0.040908421,0.099034283,0.036913263,0,0.010528208,0,0.048875053,0,0.242671561,0,0,0.811,-0.001069493,1.080347636,High
ec94,0,0,0.231297163,0.189234144,0,0.1305606,0.015342002,0.040129127,0.029391265,0,0,0.02556506,0.026919874,0.001378258,0.110342672,0.029333433,0.077929589,0.07035582,0.022220994,0,0,0,0,0.440419402,0.896780141,High
ec6,0.068574045,0,0.088113757,0.10825466,0,0.090015119,0.031914615,0.071253637,0.029714729,0.04532301,0,0.081413673,0.005152068,0.052424846,0.158832709,0.011099678,0.122500014,0,0.03541344,0,0,0,0.001,0.331644665,0.954499608,High
ec96,0.055669294,0,0.0470125,0.072478542,0,0.049041809,0.002977438,0,0.074700217,0,0,0.036949814,0,0.206460787,0.137395346,0.077943823,0.01371443,0.0336432,0,0.192012801,0,0,0.005,0.275003503,0.993039309,High
