,StromalScore,ImmuneScore,ESTIMATEScore,TumorPurity,group
ec303,-102.6649043,386.4225183,283.757614,0.798113012,Low
ec325,158.5315787,486.402985,644.9345637,0.765063679,Low
ec308,591.2814391,1054.729961,1646.0114,0.662531746,Low
ec309,1232.315478,1461.952211,2694.267689,0.539903013,Low
ec312,362.0690302,762.9388806,1125.007911,0.717823429,Low
ec315,-49.29937119,520.9097139,471.6103427,0.781197798,Low
ec316,704.6896895,1091.95538,1796.645069,0.64580905,Low
ec317,1226.983655,1184.553714,2411.537369,0.574361064,Low
ec318,897.9849493,917.8044214,1815.789371,0.643660948,Low
ec319,449.0671106,464.4694483,913.5365589,0.73908605,Low
ec321,1125.905237,639.5996254,1765.504862,0.649292261,Low
ec322,889.0317606,1060.295338,1949.327099,0.628536795,Low
ec324,94.35058805,443.0467293,537.3973173,0.775132908,Low
ec334,583.2298646,594.165191,1177.395056,0.712448408,Low
ec338,323.9300942,557.082801,881.0128953,0.7422935,Low
ec340,427.0290211,891.9598985,1318.98892,0.697710701,Low
ec341,275.1875977,489.938853,765.1264506,0.753584055,Low
ec342,838.970724,590.0064588,1428.977183,0.686054322,Low
ec347,171.031489,336.2661813,507.2976703,0.777916794,Low
ec355,946.0094164,1026.963906,1972.973322,0.625833347,Low
ec361,1469.169048,1066.856778,2536.025826,0.55930731,Low
ec370,1089.234728,1001.564872,2090.799601,0.61225065,Low
ec373,533.4034705,653.6883953,1187.091866,0.711448867,Low
ec374,577.4801349,467.729161,1045.209296,0.72592924,Low
ec406,489.4383755,99.28755463,588.7259301,0.770350703,Low
ec407,340.2712675,923.5807279,1263.851995,0.703485777,Low
ec408,785.8194092,517.181037,1303.000446,0.699390065,Low
ec376,868.5977914,864.7104791,1733.30827,0.652879369,Low
ec378,451.7096032,688.8620054,1140.571609,0.716230982,Low
ec380,934.1568593,1467.681122,2401.837981,0.575525972,Low
ec381,1036.982992,883.8053243,1920.788316,0.631789516,Low
ec382,1248.396849,801.8989482,2050.295797,0.616940683,Low
ec385,383.6049391,478.1355452,861.7404843,0.744186146,Low
ec391,1405.222327,1102.267955,2507.490281,0.562774649,Low
ec392,405.6852629,195.1240422,600.8093051,0.769218545,Low
ec393,289.1658875,111.9991633,401.1650508,0.787611355,Low
ec396,577.4784755,298.5651533,876.0436288,0.742782075,Low
ec398,963.1244155,1405.789439,2368.913854,0.579471485,Low
ec400,328.6928336,709.9229985,1038.615832,0.726594553,Low
ec402,1037.251324,715.1946906,1752.446015,0.650748935,Low
ec404,-63.00353544,178.1047174,115.1011819,0.812783088,Low
ec224,364.9100129,168.5754892,533.485502,0.775495565,Low
ec227,748.2567941,1657.745892,2406.002686,0.575025929,Low
ec251,485.0579751,943.8891067,1428.947082,0.686057537,Low
ec265,783.7203873,1072.056245,1855.776632,0.639157767,Low
ec273,-19.86414199,632.4416267,612.5774847,0.768113593,Low
ec274,474.570184,718.5549702,1193.125154,0.710826232,Low
ec279,525.5224167,1078.559953,1604.082369,0.667129243,Low
ec281,-396.4542194,-58.06975329,-454.5239727,0.858597696,Low
ec284,530.2562522,545.4184672,1075.674719,0.722846307,Low
ec285,968.8941842,939.094931,1907.989115,0.633244713,Low
ec29,-101.6652639,212.8937298,111.2284659,0.813114128,Low
ec120,-300.8022502,585.4885441,284.6862939,0.798030871,Low
ec134,375.5998799,324.0470178,699.6468977,0.759867375,Low
ec142,-117.0665247,-199.8615481,-316.9280728,0.84806904,Low
ec206,574.5204465,969.1682798,1543.688726,0.673706917,Low
ec216,601.3788788,821.6836098,1423.062489,0.686685729,Low
ec220,340.2602699,583.9544816,924.2147515,0.738029302,Low
ec236,692.1399646,1607.47512,2299.615085,0.587731674,Low
ec239,420.2285875,646.6416647,1066.870252,0.723738758,Low
ec241,661.6243442,1273.684663,1935.309007,0.630135895,Low
ec245,999.5545341,1347.785833,2347.340367,0.582049443,Low
ec247,74.2289418,915.5008847,989.7298265,0.731506123,Low
ec231,571.1744451,650.4761576,1221.650603,0.707874864,Low
ec234,298.9402065,735.8215282,1034.761735,0.726983136,Low
ec102,669.8723025,632.4195681,1302.291871,0.699464402,Low
ec217,391.2429277,331.4450418,722.6879695,0.757664363,Low
ec290,604.1607262,756.9492939,1361.11002,0.693268097,Low
ec297,829.6888335,1541.007683,2370.696516,0.579258203,Low
ec10,-190.8486634,544.2791194,353.430456,0.791909434,Low
ec11,-434.8142093,961.2796074,526.4653981,0.776145743,Low
ec12,-305.4463983,92.65210072,-212.7942976,0.839870644,Low
ec13,-270.3031147,787.1480146,516.8448999,0.777035422,Low
ec23,-665.7039031,-43.80781767,-709.5117208,0.877179961,Low
ec25,869.6479992,1154.606691,2024.25469,0.619944539,Low
ec27,-499.6401328,176.0669164,-323.5732164,0.848585503,Low
ec36,-582.4694989,-202.6596973,-785.1291962,0.8824555,Low
ec46,-673.2836195,-334.3536622,-1007.637282,0.897346003,Low
ec49,353.583586,702.877184,1056.46077,0.72479234,Low
ec51,286.3956997,555.6661602,842.0618599,0.746112539,Low
ec52,-18.27075929,395.4316936,377.1609343,0.78977756,Low
ec61,-81.6923504,-232.4695609,-314.1619113,0.847853815,Low
ec77,-138.0420869,74.43121969,-63.61086725,0.827784069,Low
ec79,-203.5581818,-100.7506375,-304.3088192,0.847086046,Low
ec87,304.3771003,821.5794892,1125.95659,0.717726469,Low
ec91,1.969184227,61.18508639,63.15427061,0.817201604,Low
ec92,367.629167,971.5518018,1339.180969,0.69558432,Low
ec4,184.433767,651.376504,835.810271,0.746723222,Low
ec7,295.5437846,601.5264292,897.0702137,0.740712054,Low
ec97,313.1115472,850.5314436,1163.642991,0.713863487,Low
ec101,-135.0742007,-56.01722865,-191.0914294,0.838137214,Low
ec106,-221.7223905,412.7425299,191.0201395,0.80624062,Low
ec302,1094.407837,1795.902604,2890.310441,0.515460606,High
ec305,466.5641364,694.3056895,1160.869826,0.714148492,High
ec306,623.6616935,231.6640647,855.3257582,0.744814784,High
ec326,471.7942315,1454.288418,1926.082649,0.631186928,High
ec330,764.4126645,741.7345583,1506.147223,0.677769036,High
ec331,680.3451232,772.0037642,1452.348887,0.683554287,High
