"","T.cells","CD8.T.cells","Cytotoxic.lymphocytes","B.lineage","NK.cells","Monocytic.lineage","Myeloid.dendritic.cells","Neutrophils","Endothelial.cells","Fibroblasts","group"
"ec376",9.118532531,7.968717639,6.819363208,8.185042222,7.12890782,9.773888351,8.250345271,8.496341638,8.495037058,12.77025636,"Low"
"ec378",8.606192696,7.242637963,6.987984326,7.747353149,7.502231628,9.844667366,8.190331786,10.04433958,9.617591377,12.58018698,"Low"
"ec380",9.951611549,8.063473648,7.99599959,11.63010974,8.006619122,9.958831237,7.955311578,8.850789081,8.776511141,12.84594577,"Low"
"ec381",8.80490758,8.9834772,6.8249184,6.544440612,6.596683488,9.797866195,6.551126406,7.755156083,8.800690386,13.26312995,"Low"
"ec382",8.271751452,7.413009591,8.842453138,6.972533611,6.835833562,10.15731843,7.987844743,9.07923583,9.152315852,13.69843737,"Low"
"ec385",8.460237533,8.14205465,6.459247826,6.264297704,7.422890814,9.180926558,8.565350806,8.496688021,8.201202337,12.72006445,"Low"
"ec391",8.827470506,8.377632251,9.014312807,7.456459276,8.477064894,10.59326737,7.940975067,9.239537155,9.525814865,13.54659644,"Low"
"ec392",7.232321674,8.170826855,4.262114575,6.172855963,7.292482916,8.455748477,7.343051644,8.751677551,8.882383315,12.61313316,"Low"
"ec393",7.46326008,7.033515288,6.538372255,6.315391778,7.171558373,8.719414251,8.662327638,8.275712582,8.254128299,12.63336088,"Low"
"ec396",8.164780602,7.50840992,7.788900786,6.852292099,7.096606131,8.985486143,7.071729048,9.113244057,8.332055848,13.08827434,"Low"
"ec398",9.949301683,10.27801185,8.347660497,7.741144585,8.48671366,10.3400959,8.878543687,8.722275473,8.716302571,13.09112123,"Low"
"ec400",8.352112028,7.70592728,6.7179569,6.868738754,7.210910082,8.794468332,7.246292494,8.61009386,8.715357992,12.34989685,"Low"
"ec402",8.625902918,9.956894385,8.196828186,6.803220024,6.987959655,8.929436823,7.70261394,8.229346602,8.145705852,13.45286942,"Low"
"ec403",8.05896126,7.364784026,7.405730306,6.548430333,6.981141727,9.484008118,7.022522216,9.201000667,9.187098434,13.80506619,"High"
"ec404",7.126712351,6.503555145,5.529548473,6.686613437,8.345745346,8.745410396,6.728888624,9.205018641,9.309142468,11.58743294,"Low"
"ec405",8.569052303,7.804330828,8.239665914,6.235606815,6.784216623,9.184146772,7.006224732,6.964782533,8.480935177,12.48673087,"High"
"ec224",9.057361684,6.78286105,8.853164243,7.843216807,6.310370305,9.678618689,8.853630867,9.26056893,9.511531893,14.03309532,"Low"
"ec225",8.927632486,7.087344053,6.638846634,7.054667128,5.931357142,10.5138236,10.41907711,8.220503441,9.572068211,13.85615475,"High"
"ec226",9.021074334,7.442694762,8.752251504,7.245448275,5.813459579,10.92515444,9.800447869,8.357402837,9.717463211,14.44564362,"High"
"ec227",10.86422463,9.896479726,9.011408496,10.30255756,7.444290521,11.55046863,10.64407171,9.568221552,10.02319404,13.18884665,"Low"
"ec251",9.598895844,7.742058887,6.956200197,7.860294376,5.981933326,10.99716851,9.203334929,9.393162486,9.709259777,13.52748461,"Low"
"ec253",10.34081698,8.94799748,9.490572483,9.14778734,6.245299876,10.36585887,10.82831035,9.213214332,9.465745083,13.25549691,"High"
"ec256",9.625438404,9.809666357,7.351169322,10.01563845,6.281422742,10.61161789,8.988652014,9.159558464,8.900289986,12.3879792,"High"
"ec258",9.577955042,8.778304765,7.953437057,9.122109637,6.792892035,10.3272031,9.831486139,9.025848928,9.292126457,13.06979523,"High"
"ec259",9.753411701,8.824991964,10.49210286,7.219365469,5.748439793,10.75478401,9.756878326,7.22572954,9.566745495,13.40270331,"High"
"ec260",9.734177432,9.168002231,7.947340776,7.658074815,6.222773628,11.53055283,9.972544168,9.877160994,10.12797509,14.63399456,"High"
"ec261",8.64322386,6.488669857,7.073599653,6.484645972,5.348119915,10.72798329,9.065681559,9.427372974,10.09059023,13.62876883,"High"
"ec262",10.09654428,9.169124384,10.15271785,9.084155833,6.914970787,11.76197314,9.827503864,9.364494679,9.772670007,13.38430123,"High"
"ec264",9.835219062,8.370325281,9.982398365,9.825226732,6.175289526,10.68008289,9.678661226,8.631800959,9.747669507,13.08941293,"High"
"ec265",9.79131172,8.422337844,8.663934786,8.380250088,7.585337503,11.19491927,9.656767199,9.298334924,10.08337615,14.03795078,"Low"
"ec266",9.192565537,7.195391849,8.996211969,7.619767885,6.122586952,10.5366121,9.772826497,8.71055679,9.992468819,14.03290772,"High"
"ec269",10.1312591,10.63129447,7.308750619,9.288128485,6.29084464,10.23821968,8.674357774,7.796141302,9.401366191,12.96884697,"High"
"ec273",10.3224395,8.934368399,11.47867514,9.414006266,6.923342156,10.20482879,10.41848942,9.765748402,9.271774163,12.02299303,"Low"
"ec274",9.473351792,7.301698037,7.31691868,9.416203779,7.012460275,10.36430154,9.834545589,9.884649674,9.734740336,13.28843293,"Low"
"ec275",9.114608656,7.287037612,6.822022306,7.39862575,6.669973119,11.11107594,8.701942324,8.504305905,9.65249773,13.44001982,"High"
"ec277",9.828714493,12.47893719,9.857924932,9.732763469,6.922475987,11.64895279,9.226611972,6.924706673,9.308074736,13.12343134,"High"
"ec279",9.937609297,8.373122016,9.819194359,11.63967677,6.858495526,10.30817477,8.613068626,9.304855257,9.331137332,12.86444596,"Low"
"ec280",9.937992459,9.376684368,9.341727863,8.21843189,6.830657738,10.96389631,8.701652651,8.530095439,9.387161141,14.14368917,"High"
"ec281",8.492873287,5.632727422,5.011467691,6.379672074,6.130167155,9.369386637,8.459910923,8.42912857,9.039016594,12.02015471,"Low"
"ec284",8.833286441,7.63478622,7.30363189,8.904269233,6.492269936,10.78587862,8.995629726,8.496932278,9.340192298,13.8478451,"Low"
"ec285",10.12299974,8.138504408,7.759020659,8.672068129,6.782143014,10.79400596,10.13807928,9.263319607,10.13770643,14.41052939,"Low"
"ec287",8.23490695,6.738880856,10.7781305,7.252576377,6.311742954,8.880749928,8.667152342,8.462834422,9.271926277,12.75995309,"High"
"ec288",10.26812699,10.57194359,8.705848578,8.770978634,6.676267414,11.08552889,10.81773537,8.456837763,9.46873121,12.44252824,"High"
"ec29",8.171906926,6.369208097,6.574355171,8.040124345,6.519841891,10.34460748,8.404445234,9.176230994,9.552659812,13.00058815,"Low"
"ec30",9.323639137,7.153934879,7.038142855,6.218816556,7.144893142,10.49226861,8.170944684,6.485477512,8.911179565,12.42150968,"High"
"ec68",8.86951812,6.330780292,7.040672887,6.446509773,7.443858599,9.690646483,8.227414786,7.945552524,8.359857738,13.62155359,"High"
"ec80",8.429213031,6.925019928,7.148176124,6.287247646,6.074455536,9.271464685,7.18703731,7.045523468,7.970987082,12.62588134,"High"
"ec81",8.363851691,12.69613331,5.397065349,6.430417366,5.865657042,8.321181684,8.716665149,6.743936383,7.823735732,12.78629777,"High"
"ec108",7.9404081,6.697787126,9.168449186,8.140386157,6.820218162,8.640272167,7.617443677,7.530117298,8.079414086,11.57194427,"High"
"ec119",10.04251565,9.383888095,6.973049035,8.937243691,6.941032976,10.42862223,9.512514523,8.299168464,9.168850939,13.37231873,"High"
"ec120",10.64168987,8.910589127,8.040630947,7.871987983,7.35811015,10.4120419,8.438047008,9.363055351,8.880534497,11.53797757,"Low"
"ec122",10.16964238,8.737862922,7.294858045,7.65326261,7.66689304,10.98931719,9.881493927,8.39970864,8.749628592,11.21309389,"High"
"ec131",9.397865819,10.24914397,7.729448945,6.982410363,7.283577469,10.8775505,7.567142181,7.421466157,8.818259827,12.86719424,"High"
"ec132",10.41207285,9.852886557,7.706500021,10.11670701,7.681596182,11.99955801,10.14616808,9.450638179,9.145309631,13.94824705,"High"
"ec134",8.78937136,6.207709912,7.320029067,7.103516733,5.456911729,9.71402639,8.340325823,7.083325826,8.743636393,13.35873151,"Low"
"ec135",8.969742112,11.46574194,6.691867677,7.407457787,6.150502325,8.998031396,8.068835137,8.056870249,8.120807217,11.73236636,"High"
"ec142",7.764803947,6.093684866,6.250635172,5.853145076,5.177707759,9.799862684,8.535813204,8.087200487,8.739858921,12.87819088,"Low"
"ec148",8.511459214,5.940349859,6.054832602,5.831361166,6.061413953,9.053391602,7.697677925,7.274585515,8.371742642,13.95561245,"High"
"ec136",9.484974827,7.575666686,6.156151057,5.025326181,6.916535411,9.726827138,6.980619345,7.300571692,9.792846017,13.30356725,"High"
"ec146",8.775515283,5.696944212,5.265942066,5.540134351,6.422796476,10.541927,9.286145098,8.63260389,9.318264213,12.5746246,"High"
"ec205",9.744593398,8.695276231,8.298626806,8.93412733,7.224816964,11.5116207,9.544509752,8.690886453,9.559539412,14.20237164,"High"
"ec206",9.900296792,8.041237067,7.756267203,8.086468266,7.999547449,10.82975744,9.957592972,9.358853327,10.38376618,13.84140863,"Low"
"ec207",9.272043085,8.18954941,7.422715723,6.702954954,6.578085897,10.7420422,10.73042175,8.352492438,10.40951778,14.16240828,"High"
"ec208",9.302218568,6.949191629,7.593885975,6.414605704,6.67885303,11.14973472,8.968132401,8.369845723,9.554374776,14.01988829,"High"
"ec210",9.504503675,8.561915121,7.517358139,8.027874836,6.689172833,10.75516133,8.385323789,8.857643657,9.212716022,12.98096686,"High"
"ec211",11.51799767,13.02153723,5.377162568,7.154241438,6.045960765,10.10168855,8.447400447,7.935331615,10.1820661,13.2708886,"High"
"ec212",10.4401949,9.642808214,8.038590386,8.113646168,7.336948139,11.88771735,10.28439695,8.424758206,9.997208524,14.39006262,"High"
"ec214",10.65522233,11.39930138,9.138796604,9.005020174,7.314614484,11.55829232,10.41336787,7.892652301,9.549876593,14.20009379,"High"
"ec215",9.579779288,8.365971802,7.537087443,7.372521858,6.155166191,10.5034239,10.22614292,7.812276111,9.46911618,13.51676855,"High"
"ec216",9.636492628,8.263856932,7.975191554,7.636353165,5.503062082,11.12166249,11.09926971,9.635956447,10.07876801,13.80789665,"Low"
