,StromalScore,ImmuneScore,ESTIMATEScore,TumorPurity
ec87,304.3771003,821.5794892,1125.95659,0.717726469
ec91,1.969184227,61.18508639,63.15427061,0.817201604
ec92,367.629167,971.5518018,1339.180969,0.69558432
ec94,1017.385544,1448.744421,2466.129965,0.567782775
ec4,184.433767,651.376504,835.810271,0.746723222
ec6,35.23153641,1029.460966,1064.692502,0.723959316
ec7,295.5437846,601.5264292,897.0702137,0.740712054
ec96,275.6909641,446.4412905,722.1322546,0.757717599
ec97,313.1115472,850.5314436,1163.642991,0.713863487
ec101,-135.0742007,-56.01722865,-191.0914294,0.838137214
ec106,-221.7223905,412.7425299,191.0201395,0.80624062
