logFC	AveExpr	t	P.Value	adj.P.Val	B
EHD3	-2.60722627318436	11.8498593047486	-27.2740009567862	1.10034665867296e-89	1.53072967135391e-87	194.015390429493
FAM3D	-4.43401255698324	12.1825534125698	-27.2613735871118	1.23154084882489e-89	1.69575634837175e-87	193.903005432445
AGRN	1.54097765642459	13.036617023743	27.2409166161591	1.47814592012429e-89	2.01475768143002e-87	193.720897293847
UPK1A	-3.86205460167598	11.2995587432961	-27.1535439442875	3.22485318758636e-89	4.35161689132904e-87	192.942565577283
CRNN	-3.61581101564246	15.4485843402235	-27.0824000454023	6.09050148807736e-89	8.13715119605108e-87	192.308158762465
GCKR	-3.23638832625698	6.0314048603352	-27.0087841733317	1.17666626992216e-88	1.55666025944408e-86	191.651102394029
FNDC4	-2.77504967877095	12.1088610656425	-26.9874599146342	1.4241262634083e-88	1.86574366975064e-86	191.460658424006
IL34	-2.9284995575419	10.3581695312849	-26.9129320002257	2.77613546538547e-88	3.60203576633765e-86	190.794655672783
TMPRSS11B	-4.42284053351956	13.271529853352	-26.8962348102605	3.22422358413018e-88	4.14358790897644e-86	190.645358740496
HTR3B	-2.83892195195531	7.28004378100559	-26.8059000922729	7.24833519736748e-88	9.22726746729026e-86	189.837091495176
DUSP5	-2.66920659217878	12.9114609301676	-26.6902651211283	2.04721211953855e-87	2.58178320944422e-85	188.801114052431
CEACAM1	-2.62485074301673	14.0589344748603	-26.6822279972147	2.20053396802435e-87	2.74944494115931e-85	188.729053606627
KIF23	1.77813437150839	11.7211138393855	26.6777713902517	2.29045375550264e-87	2.83553972263785e-85	188.689092787043
CAPN14	-4.44227499888269	12.1721589402235	-26.5978413823246	4.69935922582573e-87	5.76483212666294e-85	187.97201283586
LEPR	1.89356429050279	15.0934629189944	26.5957193311317	4.78993027444468e-87	5.82300172282491e-85	187.952965488388
FAM189A2	-2.99312556759777	10.2914559089385	-26.5101357385925	1.03483728023641e-86	1.24679413031341e-84	187.184358231805
CGNL1	-2.67582133519553	11.8022197374302	-26.4479732911101	1.8116840258649e-86	2.16343931371867e-84	186.62558302844
ARHGEF10L	-1.90531668994414	13.1445375935754	-26.3877790784794	3.11722227911814e-86	3.68980679249299e-84	186.084094320475
MXD1	-2.33502505865923	13.8292148589385	-26.3128024911037	6.13158886261942e-86	7.1947530532336e-84	185.409071471579
AFDN	-1.71415780726256	12.8984919175978	-26.3008822296468	6.82823761806298e-86	7.94312400156396e-84	185.301695274178
NUCB2	-2.02802816201118	13.3904725	-26.2984840623049	6.97769365758391e-86	8.04760668508011e-84	185.280091011381
PAIP2B	-1.95086828379887	10.8744355592179	-26.2839970234584	7.95283030300903e-86	9.09453322955964e-84	185.149568910932
ADH1A	-4.43780268100559	10.0621567321229	-26.1235967488122	3.38984700214619e-85	3.84391558377821e-83	183.702903222232
CPEB3	-2.26528302681563	10.3828358860335	-26.0599207448995	6.03222699772056e-85	6.78323925893677e-83	183.127830186498
HSP90AA1	1.3654447178771	14.7391727555866	25.9027118871598	2.50750704913e-84	2.79638843974878e-82	181.706173483376
CHP1	-1.34120009497205	13.6535923854749	-25.862183290176	3.6219772350385e-84	4.00614432865652e-82	181.339240670696
CYP4B1	-4.57908916312849	10.9068201027933	-25.8557626217741	3.83931197738881e-84	4.21200616446216e-82	181.281093975316
HIST1H2BH	1.4404871480447	15.3052109064246	25.843828244099	4.27857305750829e-84	4.6560536159691e-82	181.173002524367
TFAP2B	-4.81908134357542	7.44313716787709	-25.8391064781094	4.46595203198671e-84	4.82108453757029e-82	181.130232603565
PCP4	-3.68878688715084	12.5119915284916	-25.8366025762566	4.56862865044837e-84	4.89278373088494e-82	181.107551212846
CRTAC1	-2.90928130558659	9.36617502709497	-25.8070377804652	5.97542603516136e-84	6.3490077888557e-82	180.839690628347
EPB41L3	-2.32319498044693	12.7917660321229	-25.789570554729	7.00271304343941e-84	7.38239139126339e-82	180.681391945205
FOXM1	1.9005187670391	10.7887000438547	25.757285415848	9.38962238432981e-84	9.82198174063151e-82	180.388719312146
SLC46A2	-3.25696221061453	7.58467453826816	-25.732200194394	1.17938441846478e-83	1.22420102636644e-81	180.161239692027
GRHL3	-3.07085579329609	5.96337017765363	-25.6873594961535	1.77298806675498e-83	1.82631305135814e-81	179.754446857467
MYH11	-2.67350668715084	15.4796740977654	-25.6799551798953	1.89648782341823e-83	1.93872777948528e-81	179.68725488635
N4BP3	-2.59941515083798	8.80636572234637	-25.6345179076783	2.8672439279275e-83	2.9090668844702e-81	179.274799174405
WDR66	3.62599992960894	9.37393475865922	25.5843524163103	4.5265601932561e-83	4.55831367520879e-81	178.819172177865
KAT2B	-2.62828160167598	10.7430220986034	-25.5801370577785	4.70366899572891e-83	4.70157847617525e-81	178.780874306458
PPL	-2.50080541061452	15.5042415069832	-25.5776529962834	4.81126914327338e-83	4.77376954553904e-81	178.758304950966
LRRFIP2	-1.39388593854749	13.336255622905	-25.5442130024143	6.52410421189578e-83	6.42600454272421e-81	178.454417730844
IFI16	1.18457622346368	14.6353926368715	25.4496197276949	1.5449942280991e-82	1.51073566043256e-80	177.594168921833
XPR1	1.43329889385475	12.5054636340782	25.4470969797458	1.58094785465319e-82	1.53477052882663e-80	177.571213903985
CENPF	1.80616177374302	12.6484948868715	25.393506685432	2.5775973958045e-82	2.48443566135614e-80	177.083429427816
DEGS2	-2.69859132681564	12.6638104734637	-25.3749130654421	3.05424234303438e-82	2.92297490616354e-80	176.914119282787
EPS8L1	-3.08500825698323	14.2117654050279	-25.3262285768606	4.76340919806599e-82	4.5265805435706e-80	176.470639095774
ACLY	1.03672239664806	13.4621865642458	25.313043027413	5.37293248964997e-82	5.07009447659697e-80	176.350486593356
HIST1H2BO	1.41050105865923	15.3083146717877	25.3072660400272	5.66402508437636e-82	5.30766350615101e-80	176.297838555624
HIST2H2AB	1.21166524581006	15.2129877569832	25.273157174147	7.73471499571197e-82	7.19808580359567e-80	175.9869211499
SLURP1	-3.84545550558658	14.5261488282123	-25.2722736739106	7.79740485994852e-82	7.20672473836612e-80	175.978866078325
GPX6	-2.45720672346368	9.67755165782123	-25.2703555455616	7.93526478031581e-82	7.28424917997154e-80	175.961377794459
HIST1H2BL	1.80458189385473	15.3626280921788	25.264408352239	8.37840893064963e-82	7.63907095339095e-80	175.907152657069
HIST1H2BD	1.24306862849162	15.0818934706704	25.2578645012251	8.8946976939958e-82	8.0553725290456e-80	175.847483172297
GDPD3	-3.74086177877095	11.5872011620112	-25.2570419535099	8.96180835464294e-82	8.06204279583679e-80	175.839982540702
ACADM	-1.39449851675979	13.8326214930168	-25.2463886289469	9.87821311857519e-82	8.82758992199031e-80	175.742831001499
FXYD1	-2.68324723687151	10.8251074430168	-25.2429180154944	1.01965730910641e-81	9.05214192702758e-80	175.711178724124
ECT2	1.99817093687151	10.4448711377095	25.2369594749361	1.0767294808931e-81	9.49633177462188e-80	175.656833494487
TMOD3	-1.67299203631284	13.1505004175978	-25.2173502306199	1.28812003670289e-81	1.12869427112135e-79	175.477960743577
ESM1	3.64474712905027	7.01895587234637	25.2092802028728	1.38675480940139e-81	1.20728189664918e-79	175.404335763566
CCDC6	-1.38265148044693	14.2833145530726	-25.1983973094759	1.53185088351308e-81	1.32505101423882e-79	175.305037821849
KCNA5	-2.45878342849162	7.17584888463687	-25.1029583465879	3.66804064865333e-81	3.15264589254318e-79	174.433718963571
HIST1H2BJ	1.3690894972067	15.1188683798883	25.0910390568949	4.09093170878576e-81	3.49386281508576e-79	174.324836282252
CXCR2	-2.50812345251397	11.6147960139665	-25.066639577264	5.11502400575305e-81	4.34101471280702e-79	174.101902648778
DPCR1	-3.03779648044693	11.6794699804469	-25.0543599823051	5.72384318515282e-81	4.82734624627826e-79	173.989683649343
ADIRF	-2.61986353351956	14.7639449175978	-25.0523931085924	5.82788869224155e-81	4.88456708155947e-79	173.971707664208
MCM4	1.48314754189945	13.0873155782123	25.0439854579561	6.29442078623479e-81	5.24301938823779e-79	173.89486267897
CAST	-1.49177648044693	14.3320291843575	-24.997523438554	9.6345342781069e-81	7.97597580053831e-79	173.47007775672
GAB2	-1.14486896089385	11.0176343156425	-24.9925618352419	1.00827438462466e-80	8.29613082080803e-79	173.424702951991
CHRNA1	2.65712546480447	7.02239356759777	24.9625103020055	1.32804112843214e-80	1.08609618103414e-78	173.149823658386
GMDS	-1.94938259888268	11.8974493709497	-24.8838121622788	2.73329509836387e-80	2.22187253357362e-78	172.429553124493
CAPN5	-2.58595657262571	11.0923871131285	-24.8150329457647	5.13888278428704e-80	4.15234037671672e-78	171.799563747933
PGM5	-3.95155225363129	9.6800965122905	-24.7639672891653	8.21424080628163e-80	6.59779556190264e-78	171.331523438667
KIF2C	2.15928116815643	11.0610726337989	24.7591871803557	8.58303199105597e-80	6.85322092824315e-78	171.287698505399
KANK1	-1.92047899441341	13.2077216173184	-24.6865722914278	1.67302634052612e-79	1.32798926112114e-77	170.621678374168
GJB7	3.40163575698324	6.14033111480447	24.6800975610857	1.7756574734187e-79	1.40121180972585e-77	170.562267641403
CLOCK	-1.03983819273742	12.2288774064246	-24.6580625542818	2.17454166303946e-79	1.70600379075898e-77	170.360048796382
TGM6	1.90298815083798	6.32601351787709	24.6186088481177	3.1260641333239e-79	2.43833002399264e-77	169.997858715396
WNK4	-2.23029278603352	9.98982261815642	-24.6131229367156	3.28791815221019e-79	2.54983721528301e-77	169.947485481508
PAQR8	-2.25425419664804	10.1234047843575	-24.56374332957	5.17977638979606e-79	3.99405157736617e-77	169.493937593254
EXT1	1.41381820111732	13.9556208156425	24.5444203607999	6.1884259994432e-79	4.73040718802085e-77	169.316394080303
C1orf116	-2.82343838379888	12.5783674097765	-24.54413258447	6.2048471341314e-79	4.73040718802085e-77	169.313749661211
PLCXD3	-3.42534158044692	5.79061752877095	-24.5249388100124	7.40455881028117e-79	5.61332115651315e-77	169.137357408686
NCCRP1	-2.85028244413408	14.1933951187151	-24.5219843449212	7.60882022546635e-79	5.73594525823704e-77	169.110202530834
ZNF185	-2.69080804189943	14.5608147555866	-24.4988847427801	9.41304888786962e-79	7.0566489829396e-77	168.897862409687
SAMD5	-3.1812404083799	10.7775160941341	-24.4873774530212	1.04658606853372e-78	7.80255934187515e-77	168.792064205366
SIX4	3.53169786033521	8.52204935363129	24.4814388709711	1.10545074787207e-78	8.19612768779438e-77	168.737459871542
STC2	2.64976725698324	10.6598447709497	24.4503879840321	1.47170062542229e-78	1.08519826445073e-76	168.45189740548
KRT32	-1.93782167597765	10.1073737849162	-24.4463636767706	1.52731817518749e-78	1.12008866608587e-76	168.414880799101
C1QL4	3.01126412402235	5.27711163631285	24.4324148574601	1.73689817751713e-78	1.2669029193198e-76	168.286564154532
COL3A1	2.82250175139664	11.0385440125698	24.4283153328849	1.80380065156525e-78	1.30862827915169e-76	168.248848708265
C7	-2.07360241899442	12.6887389888268	-24.4241911479425	1.87370903867451e-78	1.35207645817507e-76	168.21090478829
GMPS	1.21788070949721	12.9156904050279	24.3792669722455	2.83548700207058e-78	2.03521604286917e-76	167.797483201262
EPS8L2	-2.26563448603353	13.1442535167598	-24.3485013597888	3.76612081769509e-78	2.68889070444325e-76	167.51424864788
MASP2	-1.41296818994414	9.46040033519553	-24.3421565457015	3.99319379427772e-78	2.83600826631492e-76	167.455825964351
CCL14	-3.37256823854749	11.2225279449721	-24.273386039782	7.53381809280347e-78	5.32258331645497e-76	166.82235022576
TOP2A	2.1884784273743	12.6967975488827	24.1900203046325	1.62733178654481e-77	1.14370912123103e-75	166.053843316191
ACSM1	-2.27630303351955	8.35942747374302	-24.1513733023894	2.32606074369302e-77	1.62631418007221e-75	165.697358886363
SERPINB6	-1.77061682122904	14.0219651592179	-24.1108713944952	3.38279788330103e-77	2.35296261016826e-75	165.32361789846
IGFBP3	2.64452984916201	12.7720651675978	24.0581716725614	5.50825949688411e-77	3.8117155718438e-75	164.837095043301
USP53	-1.32493154469273	11.8238389846369	-24.0144917152204	8.25269315986497e-77	5.68172660710296e-75	164.433651815757
EPB41L4A	-2.2773552396648	10.6267755030726	-23.9663020303457	1.2894112758554e-76	8.83213997786437e-75	163.988355799475
TAX1BP1	-0.972828497206702	14.7131101284916	-23.9251047674717	1.88859455262112e-76	1.28710580268027e-74	163.607508177624
PADI1	-4.47721246312849	11.5435289209497	-23.9134894902333	2.10320640120865e-76	1.42616417979445e-74	163.500103511785
RORC	-3.54410486983241	9.00415320418994	-23.895518432894	2.48435006765608e-76	1.67619099064756e-74	163.333904279403
HIST1H2BK	1.18357233798881	15.1413691354749	23.8816005856368	2.82643283998092e-76	1.89750670361704e-74	163.205170076616
CPNE6	-2.29183426759776	7.76101540363129	-23.8639383260348	3.3292645788433e-76	2.22401466469859e-74	163.041776922673
HSP90B1	1.1399592765363	15.1371860628492	23.8450449199554	3.96668683490981e-76	2.63677202710704e-74	162.86696391563
ZNF365	-2.92369316201117	11.4306495865922	-23.8237355150311	4.8333989338734e-76	3.19715123596508e-74	162.669758855513
DNMT3B	2.60782830391062	6.52097305363128	23.8156110441303	5.2116944142945e-76	3.43056606958487e-74	162.594561488289
ZIC5	4.27202912234637	7.49289272821229	23.7931793701059	6.41725633505319e-76	4.20361441675766e-74	162.386911351707
LDB3	-3.19303601731844	9.33862480139665	-23.7716923967216	7.83306800522776e-76	5.10625215761079e-74	162.187964944861
TGFBR3	-2.30261756703911	11.5061872472067	-23.726418320002	1.19240212628191e-75	7.73570879425388e-74	161.76864338529
MALL	-2.78650919273743	14.1451048058659	-23.6746512709339	1.92832552003708e-75	1.24501552953973e-73	161.288966641688
PSMB2	1.06838139664806	13.9296751927374	23.6729778351169	1.95853071285661e-75	1.25849587806129e-73	161.273456610853
VSIG10L	-3.37557739832402	12.0532207360335	-23.6696366631703	2.02026241913021e-75	1.29201047790251e-73	161.242488652979
LAMB3	2.04632513966481	12.3830004413408	23.6570597640276	2.27061448291416e-75	1.44526753926621e-73	161.12590987975
ZNF662	-1.97670475474861	8.82464037793296	-23.6426241983621	2.59647558571076e-75	1.64492213866577e-73	160.992085817942
HIST1H2BM	1.32436708379887	15.224507622905	23.6153421606686	3.34561468121266e-75	2.10936933021262e-73	160.739120399814
CERCAM	1.8583703519553	12.980348698324	23.6148529285721	3.36085968575451e-75	2.10936933021262e-73	160.734583543116
DTL	2.02891693351955	10.8257914494413	23.6082182132512	3.57460350937828e-75	2.23313424794215e-73	160.67305499087
MAPT	-2.02331525698324	9.77327612178771	-23.5754918218886	4.84545392972842e-75	3.01311314874448e-73	160.369504255836
FGF14	-1.97408857318436	8.16121327206704	-23.5270802261543	7.60029084558752e-75	4.70451030597973e-73	159.920299608135
EPHX2	-2.08342331564244	12.5982985377095	-23.5017087014561	9.62321093080728e-75	5.92947983106454e-73	159.684801372154
HOXB7	1.70125315977654	10.2814993921788	23.4813332934681	1.16317425684707e-74	7.13448791904288e-73	159.495637732667
FTL	1.70400767597765	15.2559958324022	23.4405925296128	1.69941406172776e-74	1.03764223298436e-72	159.117299199826
FMNL2	1.50271679329609	11.4273412067039	23.3979585126843	2.52737606424356e-74	1.53623480229291e-72	158.721230439505
HPCAL4	-3.44330229553072	6.85064843100559	-23.3788223758456	3.02036377414109e-74	1.82765868915963e-72	158.543407133531
SERPINE1	3.10130552402235	10.719203352514	23.3629445430143	3.50172141880586e-74	2.10947450113242e-72	158.39583871225
KIF4A	1.71551327150837	9.68888410446927	23.3401101116094	4.33169363677215e-74	2.59786106376015e-72	158.183579211796
RGS7BP	-1.88110880223463	7.90916764804469	-23.3201757841922	5.21575106508527e-74	3.11421879965755e-72	157.998242765835
RRAGD	-2.28780986592179	12.1839708854749	-23.318300658227	5.30768085351119e-74	3.15514737609163e-72	157.980807379934
LRRK2	-2.57752793128493	9.61745469636872	-23.3061773084817	5.94246419271043e-74	3.51700051826467e-72	157.868074505765
TREM2	3.01245117150837	9.80931229189944	23.3023829576969	6.1563449059194e-74	3.62767328211688e-72	157.832789036136
FAM24A	1.59108401005587	5.14401835251397	23.2930793643943	6.71395313865616e-74	3.93904711534896e-72	157.746265514705
MCM7	1.57838403072626	13.950456627095	23.2716508525672	8.19822394153219e-74	4.78904042714439e-72	157.546953197531
COBL	-2.40206211340782	9.68724396564246	-23.2242352303513	1.27559711122708e-73	7.41935664607681e-72	157.105794916624
