id	category	gene_num.min	gene_num.max	gene_num.rich	Pvalue	up.regulated	down.regulated	rich.factor
GO:0035725	BP	0	2074	42	0.000171483	3	0	0.020250723240115717
GO:0030071	BP	0	2074	26	0.000196265	19	0	0.01253616200578592
GO:0030856	BP	0	2074	40	0.000201938	5	0	0.019286403085824494
GO:0007492	BP	0	2074	25	0.000207096	1	0	0.012054001928640309
GO:0051962	BP	0	2074	59	0.000233966	2	0	0.02844744455159113
GO:0001706	BP	0	2074	20	0.000237208	1	0	0.009643201542912247
GO:0051983	BP	0	2074	33	0.000257547	23	0	0.01591128254580521
GO:0044784	BP	0	2074	27	0.000257547	20	0	0.013018322082931534
GO:0031214	BP	0	2074	41	0.000287054	5	0	0.019768563162970106
GO:0016053	BP	0	2074	65	0.000287054	4	0	0.0313404050144648
GO:0140694	BP	0	2074	76	0.000287054	31	0	0.03664416586306654
GO:0090596	BP	0	2074	56	0.000329079	5	0	0.02700096432015429
GO:1902099	BP	0	2074	26	0.000329079	19	0	0.01253616200578592
GO:0050808	BP	0	2074	87	0.000329079	2	0	0.041947926711668276
GO:0006631	BP	0	2074	74	0.000329079	2	0	0.03567984570877531
GO:0030239	BP	0	2074	23	0.000333142	3	0	0.011089681774349084
GO:0001822	BP	0	2074	62	0.000343202	3	0	0.029893924783027964
GO:0042445	BP	0	2074	50	0.000375266	3	0	0.024108003857280617
GO:0046394	BP	0	2074	64	0.000387101	4	0	0.03085824493731919
GO:0050673	BP	0	2074	85	0.000409881	9	0	0.040983606557377046
GO:0060485	BP	0	2074	64	0.000463406	2	0	0.03085824493731919
GO:0050803	BP	0	2074	51	0.000482619	1	0	0.02459016393442623
GO:0048762	BP	0	2074	54	0.000485263	2	0	0.026036644165863067
GO:0055002	BP	0	2074	23	0.000492506	3	0	0.011089681774349084
GO:0050807	BP	0	2074	50	0.000500931	1	0	0.024108003857280617
GO:0006814	BP	0	2074	50	0.000558371	4	0	0.024108003857280617
GO:0007093	BP	0	2074	34	0.000579983	24	0	0.01639344262295082
GO:0010038	BP	0	2074	67	0.000593833	9	0	0.03230472516875603
GO:0034764	BP	0	2074	45	0.000660964	2	0	0.021697203471552556
GO:0060538	BP	0	2074	40	0.00073741	3	0	0.019286403085824494
GO:0085029	BP	0	2074	18	0.00073741	3	0	0.008678881388621022
GO:0051963	BP	0	2074	29	0.00073741	0	0	0.013982642237222759
GO:1901990	BP	0	2074	66	0.000747684	36	0	0.03182256509161042
GO:0042476	BP	0	2074	32	0.000755095	4	0	0.015429122468659595
GO:0050890	BP	0	2074	61	0.000778591	3	0	0.029411764705882353
GO:0061448	BP	0	2074	56	0.000783613	2	0	0.02700096432015429
GO:0035136	BP	0	2074	15	0.000805526	1	0	0.007232401157184185
GO:0003018	BP	0	2074	54	0.000813406	3	0	0.026036644165863067
GO:0030326	BP	0	2074	30	0.000834864	2	0	0.01446480231436837
GO:0035113	BP	0	2074	30	0.000834864	2	0	0.01446480231436837
GO:0034508	BP	0	2074	12	0.000858008	9	0	0.0057859209257473485
GO:0051315	BP	0	2074	11	0.000884897	10	0	0.005303760848601736
GO:0034767	BP	0	2074	35	0.001059428	2	0	0.016875602700096432
GO:0035115	BP	0	2074	13	0.00111054	1	0	0.00626808100289296
GO:0007586	BP	0	2074	32	0.00111054	2	0	0.015429122468659595
GO:0010001	BP	0	2074	51	0.001330739	4	0	0.02459016393442623
GO:0051383	BP	0	2074	10	0.001354388	8	0	0.0048216007714561235
GO:0051988	BP	0	2074	10	0.001354388	8	0	0.0048216007714561235
GO:0051965	BP	0	2074	19	0.001363405	0	0	0.009161041465766635
GO:0007548	BP	0	2074	55	0.001400927	5	0	0.02651880424300868
GO:0050767	BP	0	2074	70	0.001405263	4	0	0.033751205400192864
GO:0044772	BP	0	2074	78	0.00145839	43	0	0.037608486017357765
GO:0060348	BP	0	2074	44	0.00151328	4	0	0.021215043394406944
GO:0042060	BP	0	2074	75	0.00151328	7	0	0.03616200578592092
GO:0016049	BP	0	2074	84	0.001574252	10	0	0.040501446480231434
GO:0051216	BP	0	2074	43	0.001587821	2	0	0.020732883317261332
GO:0007584	BP	0	2074	36	0.001603688	4	0	0.017357762777242044
GO:0048511	BP	0	2074	56	0.001603688	8	0	0.02700096432015429
GO:0030282	BP	0	2074	30	0.001603688	3	0	0.01446480231436837
GO:0042471	BP	0	2074	30	0.001603688	3	0	0.01446480231436837
GO:0042391	BP	0	2074	77	0.001603688	4	0	0.03712632594021215
GO:0042063	BP	0	2074	63	0.001603688	4	0	0.03037608486017358
GO:0045616	BP	0	2074	14	0.001603688	2	0	0.006750241080038573
GO:0060560	BP	0	2074	48	0.001634913	1	0	0.023143683702989394
GO:0051592	BP	0	2074	33	0.001703169	5	0	0.01591128254580521
GO:0048546	BP	0	2074	16	0.001718807	0	0	0.007714561234329798
GO:0060993	BP	0	2074	25	0.00173211	1	0	0.012054001928640309
