,TIDE,Cluster,ABLIM1,CSTB,MAL2,SLPI,FANCB,IFT57,KIF11,PPEF1
ec277,-0.16,1,Low,Low,Low,Low,Low,High,High,High
ec275,0.51,2,Low,High,Low,High,High,Low,High,High
ec274,0.03,2,High,High,High,High,High,High,High,High
ec273,-0.19,2,High,High,High,High,High,Low,High,Low
ec27,-1.09,2,High,High,High,High,Low,Low,High,Low
ec269,0.12,1,High,Low,Low,Low,High,High,High,High
ec268,0.09,2,High,High,High,High,High,High,High,High
ec266,1.3,2,High,Low,Low,High,High,High,High,High
ec265,0.17,2,Low,High,Low,High,Low,High,High,High
ec264,0.4,1,High,Low,Low,Low,Low,High,High,High
ec262,-0.38,1,Low,Low,Low,High,High,High,High,High
ec261,1.26,1,High,High,Low,Low,High,High,High,High
ec260,0.12,2,Low,High,High,High,Low,High,High,High
ec26,-0.04,1,Low,Low,Low,Low,Low,High,Low,Low
ec259,1.18,1,Low,Low,Low,Low,High,High,High,High
ec258,0.03,1,High,Low,Low,Low,High,High,High,High
ec256,0.25,2,Low,High,Low,Low,Low,High,High,Low
ec253,-0.09,1,High,High,Low,Low,High,High,High,High
ec251,0.24,2,Low,High,Low,High,Low,Low,Low,High
ec25,0.23,1,High,Low,High,Low,Low,High,Low,High
ec249,0.3,2,Low,High,Low,High,High,High,Low,Low
ec247,0.53,2,Low,High,High,High,High,Low,High,Low
ec246,0.81,2,Low,Low,Low,High,Low,High,High,High
ec245,0.01,2,Low,Low,Low,High,Low,High,High,High
ec243,0.25,1,High,Low,Low,Low,Low,High,High,High
ec241,-0.69,2,High,High,Low,High,Low,High,Low,High
ec239,0.86,2,High,High,High,High,High,Low,Low,High
ec236,0.67,2,Low,High,Low,High,Low,High,Low,Low
ec234,-0.14,2,High,High,High,High,Low,Low,Low,High
ec231,0.76,2,High,Low,High,High,Low,Low,Low,High
ec23,-0.74,2,High,High,High,High,Low,Low,Low,Low
ec229,1.13,1,High,Low,Low,Low,Low,High,Low,High
ec228,0.48,1,Low,Low,Low,Low,Low,High,High,High
ec227,0.66,2,High,High,High,High,Low,High,Low,Low
ec226,2.05,2,Low,Low,Low,High,Low,High,Low,High
ec225,1.22,1,Low,Low,High,Low,Low,High,High,High
ec224,1.42,2,High,High,High,High,Low,High,Low,High
ec223,0.33,1,Low,Low,Low,High,Low,High,High,High
ec222,1.01,2,High,Low,Low,High,High,High,High,High
ec221,-0.19,2,High,High,Low,High,High,High,High,High
ec220,0.63,2,High,High,High,High,Low,High,Low,High
ec219,0.57,2,High,Low,Low,High,Low,High,Low,High
ec218,1.19,1,Low,Low,Low,High,High,High,High,High
ec217,1.08,2,Low,Low,Low,High,Low,Low,Low,High
ec216,-0.23,2,High,High,High,High,Low,High,Low,High
ec215,-1,2,High,Low,Low,High,High,High,High,High
ec214,0.76,1,Low,Low,Low,Low,High,High,Low,High
ec212,0.78,2,Low,Low,Low,High,Low,High,Low,High
ec211,0.69,1,Low,Low,Low,Low,High,High,High,High
ec210,0.16,2,Low,Low,Low,High,High,High,Low,High
ec208,1.32,1,Low,High,Low,Low,Low,Low,High,High
ec207,-0.11,1,Low,Low,Low,Low,High,Low,High,High
ec206,-0.12,2,High,High,High,High,Low,High,Low,Low
ec205,0.28,1,Low,Low,Low,Low,High,Low,High,High
ec201,1.71,1,Low,Low,High,Low,Low,Low,High,High
ec148,1.37,1,High,Low,Low,Low,Low,Low,High,High
ec146,0.52,2,High,High,High,High,High,High,High,High
ec142,0.94,2,High,High,High,Low,Low,High,High,High
ec136,1.48,1,Low,Low,Low,Low,High,Low,Low,High
ec135,0.88,1,Low,Low,Low,Low,High,High,High,Low
ec134,0.64,2,High,High,Low,Low,Low,Low,Low,High
ec132,0.94,2,Low,Low,Low,High,Low,High,High,Low
ec131,0.05,1,Low,Low,Low,Low,High,High,High,Low
ec13,0.81,2,High,High,Low,High,Low,Low,Low,Low
ec129,0.02,1,Low,High,Low,Low,High,Low,High,Low
ec122,-0.48,2,Low,High,High,Low,High,High,High,Low
ec120,0.14,2,High,High,Low,High,Low,High,Low,Low
ec12,-0.87,2,High,High,High,High,Low,Low,Low,Low
ec119,0.71,2,Low,Low,Low,High,Low,High,High,Low
ec117,0.2,1,Low,Low,Low,Low,Low,Low,High,Low
ec112,-0.08,1,Low,Low,Low,Low,High,High,High,Low
ec11,-2.39,2,High,High,High,High,Low,Low,Low,Low
ec108,0.37,1,High,Low,Low,Low,High,Low,High,High
ec106,-0.59,2,High,High,High,High,High,Low,High,Low
ec102,0.27,2,High,High,Low,High,Low,High,Low,High
ec101,0.37,2,High,Low,High,High,Low,High,High,Low
ec10,0.36,2,Low,Low,High,High,Low,Low,Low,High
