SYMBOL,log2FoldChange,pvalue,padj
PKD2L1,1.652521025,2.01E-53,1.81E-52
KLK11,-1.913402466,2.05E-53,1.85E-52
PRTFDC1,1.48593499,2.25E-53,2.02E-52
NRG1,2.003901391,2.36E-53,2.12E-52
SMKR1,1.735340771,2.70E-53,2.42E-52
LRRC26,-2.493782043,3.06E-53,2.74E-52
ABLIM2,-1.640712795,3.16E-53,2.83E-52
ENO2,1.411742138,3.24E-53,2.90E-52
MYOCD,-2.240243707,3.35E-53,3.00E-52
NDST1,-1.055489667,3.48E-53,3.10E-52
ELL2,-1.102669125,3.88E-53,3.46E-52
YIPF7,-2.239329432,4.32E-53,3.84E-52
XPNPEP2,-2.085168368,4.76E-53,4.23E-52
NAV1,1.143074294,6.69E-53,5.95E-52
PTH2R,2.901526144,6.85E-53,6.09E-52
TRPM2,1.39995937,9.67E-53,8.56E-52
SYTL1,-1.191005399,1.01E-52,8.93E-52
ABCA6,-1.451136053,1.06E-52,9.37E-52
PYCR1,1.58707801,1.06E-52,9.39E-52
SRL,-1.522520704,1.10E-52,9.71E-52
S100A9,-1.880042946,1.10E-52,9.71E-52
CHRDL1,-2.320315347,1.13E-52,9.94E-52
OASL,1.988753633,1.28E-52,1.13E-51
KLK14,2.621995936,1.97E-52,1.73E-51
TIMP1,1.291583995,2.26E-52,1.98E-51
TRPV3,2.183772222,2.39E-52,2.09E-51
LCE2A,3.473681202,2.94E-52,2.57E-51
CTSG,-1.73937705,3.04E-52,2.65E-51
GNE,-1.086615555,3.24E-52,2.83E-51
MYH11,-2.06720288,3.57E-52,3.12E-51
CFL2,-1.361212767,3.66E-52,3.19E-51
ANK2,-2.142336401,3.80E-52,3.31E-51
MXRA8,1.33605487,4.17E-52,3.63E-51
DDX60,1.604812222,5.49E-52,4.78E-51
MUSK,-1.388147107,6.76E-52,5.87E-51
ACKR3,1.555550596,6.98E-52,6.05E-51
HENMT1,1.380975363,7.50E-52,6.49E-51
SPARC,1.191450463,7.80E-52,6.75E-51
TET2,-1.107995457,1.09E-51,9.41E-51
GRIA3,-1.81809564,1.20E-51,1.03E-50
LYVE1,-2.069816437,1.21E-51,1.04E-50
HRC,-1.676572896,1.22E-51,1.05E-50
PIGR,-3.240174645,1.30E-51,1.12E-50
ALCAM,1.46385702,1.39E-51,1.19E-50
ZNF540,-1.243733686,1.50E-51,1.29E-50
SPRR2D,-2.023676933,1.52E-51,1.31E-50
UCP3,-1.666474024,1.72E-51,1.47E-50
LAYN,1.306443726,2.00E-51,1.72E-50
MAP3K20,1.286791401,2.38E-51,2.04E-50
COL9A2,1.892260866,2.86E-51,2.44E-50
ANGEL1,1.108800464,3.08E-51,2.63E-50
FBXO41,1.232756293,3.41E-51,2.91E-50
AZIN2,1.0857604,3.50E-51,2.98E-50
NOCT,1.369212555,3.98E-51,3.38E-50
ANTXR1,1.157685662,4.08E-51,3.47E-50
ANGPTL5,-1.985152794,4.29E-51,3.65E-50
NOS2,2.426684321,4.52E-51,3.83E-50
PGC,-3.646355721,4.73E-51,4.01E-50
ATP10B,-1.918808728,5.38E-51,4.56E-50
CAPN8,-2.56162533,5.46E-51,4.62E-50
OR7E24,-2.022541041,6.58E-51,5.55E-50
IDO1,2.226524541,9.00E-51,7.58E-50
TMPRSS11A,-2.405611043,9.57E-51,8.05E-50
FBLIM1,1.189390154,1.06E-50,8.94E-50
ITLN1,-2.870683254,1.26E-50,1.06E-49
SPRR2A,-2.009953986,1.44E-50,1.21E-49
DTX2,-1.020104037,1.59E-50,1.33E-49
RFLNB,1.27075005,1.65E-50,1.38E-49
CDC25A,1.220642724,1.89E-50,1.58E-49
RASAL2,-1.04904899,2.30E-50,1.92E-49
SYT12,1.799981696,2.59E-50,2.17E-49
SMTNL2,-1.841172594,2.64E-50,2.20E-49
FOS,-1.484944093,3.08E-50,2.57E-49
PROC,1.680375184,3.34E-50,2.78E-49
UBE2L6,1.09820291,3.63E-50,3.02E-49
NEXN,-1.434283677,5.36E-50,4.45E-49
ATP1B1,-1.050834011,5.93E-50,4.93E-49
C12orf75,1.41882794,5.97E-50,4.95E-49
FOXE1,1.809893052,6.71E-50,5.56E-49
ZGRF1,1.292303291,7.23E-50,5.98E-49
SH2D4A,-1.051347912,7.42E-50,6.13E-49
EFNB1,1.415020604,7.56E-50,6.24E-49
RUNDC3A,1.492254228,8.95E-50,7.38E-49
SLC2A4,-1.857474105,1.16E-49,9.57E-49
CHIA,-2.791035927,1.36E-49,1.12E-48
KCNQ4,-2.00670312,2.22E-49,1.82E-48
FRMD4B,-1.380838158,2.29E-49,1.87E-48
STX19,-1.349881788,2.55E-49,2.08E-48
EFNA1,1.088021148,2.59E-49,2.11E-48
COL5A3,1.762416967,2.73E-49,2.22E-48
LMNB1,1.109283578,3.47E-49,2.81E-48
LYPD3,-1.666021068,3.87E-49,3.14E-48
SLC39A10,1.164353147,4.43E-49,3.59E-48
SULT2A1,-2.02322744,4.53E-49,3.67E-48
C1QTNF2,-1.157321019,4.92E-49,3.97E-48
CADM3,-1.870367034,4.96E-49,4.00E-48
CCR8,1.650502911,5.37E-49,4.34E-48
PLCD4,-1.31768935,5.72E-49,4.61E-48
MADCAM1,-1.880760054,8.69E-49,7.00E-48
SLC6A15,2.100742482,1.04E-48,8.35E-48
ANGPTL7,-1.957025746,1.28E-48,1.03E-47
RTP4,1.593807747,1.40E-48,1.13E-47
CNGA3,-2.09415383,1.62E-48,1.30E-47
TXNRD1,1.656454317,1.68E-48,1.35E-47
COL6A1,1.261569509,1.69E-48,1.35E-47
ARHGEF9,-1.048328352,1.84E-48,1.47E-47
PCDHGC5,1.90388081,1.96E-48,1.56E-47
EPGN,-2.372226226,2.04E-48,1.62E-47
C10orf55,1.405263751,2.21E-48,1.76E-47
TRIM59,1.105378081,2.36E-48,1.88E-47
DMGDH,-1.48064624,2.39E-48,1.90E-47
TRIM29,-1.290337312,2.48E-48,1.97E-47
HTR4,-1.371780723,2.92E-48,2.32E-47
CAPS2,-1.16764031,3.36E-48,2.66E-47
CDH17,-1.527803172,3.95E-48,3.13E-47
CCL19,-2.294272732,4.05E-48,3.21E-47
CDH15,1.520533029,4.37E-48,3.46E-47
ABCA4,2.30287751,4.97E-48,3.92E-47
CHSY3,1.285330673,5.94E-48,4.68E-47
ARHGAP20,-1.31825138,8.07E-48,6.34E-47
MACC1,-1.580449105,8.09E-48,6.35E-47
IFIT2,1.617458469,9.53E-48,7.48E-47
PLD1,-1.133056701,1.02E-47,8.02E-47
LGALS4,-2.535898667,1.20E-47,9.42E-47
PLXNC1,1.191731367,1.28E-47,1.00E-46
KPRP,-2.364407156,1.51E-47,1.18E-46
TTR,-2.210956864,1.61E-47,1.25E-46
GRIA2,-2.072125942,1.69E-47,1.32E-46
GPR157,-1.233442057,1.95E-47,1.52E-46
B3GNT9,1.076353255,2.33E-47,1.81E-46
CENPK,1.044611106,2.62E-47,2.04E-46
SLC26A2,-1.096165085,2.81E-47,2.18E-46
CCL7,2.421583396,3.35E-47,2.60E-46
MYL9,-1.488210194,4.24E-47,3.28E-46
CCNG2,-1.043866061,4.65E-47,3.59E-46
NASP,1.009596664,7.55E-47,5.82E-46
PRB1,-1.95702155,8.64E-47,6.65E-46
MYLK,-1.385526104,8.71E-47,6.71E-46
ADGRB3,-1.603089015,8.84E-47,6.80E-46
MYO6,-1.126158518,1.11E-46,8.54E-46
XKR9,1.84162108,1.13E-46,8.70E-46
ATP6V0A4,-2.146355835,1.31E-46,1.00E-45
CD1E,-1.849222363,1.35E-46,1.03E-45
SLC39A4,1.000225082,1.39E-46,1.06E-45
PLEKHA6,-1.364857391,2.06E-46,1.57E-45
PLEKHA5,-1.072910879,2.26E-46,1.72E-45
CHRM1,-2.318157489,2.29E-46,1.74E-45
RRAD,-1.92208762,2.51E-46,1.91E-45
SLC13A5,2.41954585,2.71E-46,2.06E-45
NPC1L1,-1.37611157,2.80E-46,2.12E-45
ZP3,1.105928561,3.27E-46,2.47E-45
TNFRSF4,1.291775613,3.36E-46,2.53E-45
CCNB1,1.062036675,3.48E-46,2.63E-45
NCF2,1.282663574,3.67E-46,2.76E-45
AKAP12,-1.524713297,3.68E-46,2.77E-45
MAGI1,-1.19139015,3.72E-46,2.80E-45
DYNC1I1,1.598884999,3.76E-46,2.83E-45
MT1A,-2.483833547,3.84E-46,2.89E-45
SLIT3,-1.254798977,3.93E-46,2.95E-45
ECHDC3,-1.786662739,4.36E-46,3.27E-45
NKD2,1.385284664,4.42E-46,3.31E-45
PHACTR2,-1.433704307,5.76E-46,4.32E-45
PTTG1,1.030798088,5.92E-46,4.44E-45
DMP1,1.405651943,6.11E-46,4.58E-45
ABI3BP,-1.897552453,6.22E-46,4.66E-45
CWH43,-2.420262992,9.76E-46,7.27E-45
ADGRG6,-1.304309867,1.03E-45,7.63E-45
PPP1R14C,1.43539004,1.04E-45,7.76E-45
SLAMF8,1.305688957,1.07E-45,7.97E-45
PPP1R14A,-1.363282815,1.08E-45,8.03E-45
IL6ST,-1.069640476,1.22E-45,9.04E-45
ITPR1,-1.130477144,1.38E-45,1.02E-44
GALNT16,-1.701038733,1.43E-45,1.06E-44
CHST2,1.717224222,1.59E-45,1.17E-44
PHYHD1,-1.799357336,1.60E-45,1.18E-44
TCHH,2.144629459,1.85E-45,1.37E-44
ST8SIA2,2.15767041,2.10E-45,1.55E-44
DVL3,1.011049398,2.27E-45,1.68E-44
CLDN4,-1.397708392,2.29E-45,1.69E-44
MYO7A,1.303734049,2.30E-45,1.70E-44
PTPRZ1,1.544113682,2.30E-45,1.70E-44
TCN1,-2.636250638,2.31E-45,1.70E-44
EGR1,-1.140313619,2.41E-45,1.77E-44
KIAA1549L,1.718972718,2.52E-45,1.85E-44
GCNT3,-2.116193859,2.53E-45,1.86E-44
CD1A,-1.601767734,2.66E-45,1.95E-44
RECQL4,1.156599496,3.00E-45,2.20E-44
OGDHL,2.376076465,3.23E-45,2.36E-44
B3GNT8,-1.093808495,3.36E-45,2.46E-44
RNF208,-1.423287006,3.54E-45,2.59E-44
DDN,1.505295014,3.60E-45,2.63E-44
MMP8,2.058513382,3.74E-45,2.73E-44
CHRNA6,1.474287642,4.92E-45,3.58E-44
RNASE7,-2.317300644,4.92E-45,3.58E-44
NCBP2,1.028409505,6.16E-45,4.46E-44
TNS2,-1.178824868,6.49E-45,4.71E-44
SERPINB3,-1.977587498,6.95E-45,5.04E-44
BHMT2,-1.60136449,7.31E-45,5.29E-44
ACADSB,-1.057235259,8.19E-45,5.92E-44
KANK4,2.088918171,9.81E-45,7.08E-44
APOD,-2.029601235,9.82E-45,7.09E-44
SOHLH1,2.523782454,1.15E-44,8.26E-44
KLF9,-1.147859997,1.17E-44,8.42E-44
AOX1,-1.685811959,1.26E-44,9.04E-44
SPACA4,-1.826638705,1.34E-44,9.64E-44
CRNN,-2.40340802,1.42E-44,1.02E-43
SESTD1,-1.180836379,1.45E-44,1.04E-43
RECK,-1.282001003,1.50E-44,1.07E-43
KIF24,1.210592436,1.51E-44,1.08E-43
MRPS17,1.055148422,1.79E-44,1.28E-43
PKIB,-1.824710551,1.89E-44,1.35E-43
ACSM3,-1.560938891,1.90E-44,1.36E-43
EIF5A2,1.121279292,2.07E-44,1.48E-43
ANO4,1.947674752,2.10E-44,1.50E-43
GPR12,-1.776948527,2.24E-44,1.60E-43
STRA8,2.325997066,2.52E-44,1.80E-43
SEC61G,1.004417546,2.62E-44,1.87E-43
TMEM201,1.136401324,2.91E-44,2.07E-43
IL2RA,1.684880345,3.10E-44,2.20E-43
OR5AS1,-1.141466122,3.35E-44,2.38E-43
TMEM97,1.19691217,3.67E-44,2.61E-43
KIAA0319,2.445827079,4.18E-44,2.96E-43
EPSTI1,1.392648636,4.62E-44,3.27E-43
GLI2,1.756394182,4.95E-44,3.50E-43
PAX1,-2.500426558,5.26E-44,3.72E-43
KRT15,-1.63353651,5.43E-44,3.84E-43
TACR1,-1.413495313,6.07E-44,4.28E-43
CDH13,1.429210608,6.55E-44,4.61E-43
NRIP3,1.191977656,6.90E-44,4.85E-43
PDGFRB,1.138996832,6.94E-44,4.88E-43
FLNC,-1.937776351,7.17E-44,5.04E-43
TNFSF10,1.58739284,7.91E-44,5.56E-43
NTRK2,2.339005394,8.75E-44,6.14E-43
MAL2,-1.280930783,9.05E-44,6.34E-43
IGFL1,-2.16250308,9.78E-44,6.84E-43
PSPH,1.131543766,1.18E-43,8.23E-43
RGS16,1.259000285,1.21E-43,8.44E-43
SLC16A10,1.216457459,1.23E-43,8.57E-43
RAB31,1.020375086,1.43E-43,9.95E-43
B3GNT3,-1.44953951,1.50E-43,1.04E-42
SLC6A8,1.159087281,1.51E-43,1.05E-42
COL6A3,1.712190403,1.61E-43,1.12E-42
PRDM16,-1.584399372,2.14E-43,1.49E-42
KCNG3,1.93298491,2.24E-43,1.55E-42
MCM10,1.15148322,2.28E-43,1.58E-42
MYO5C,-1.46013229,2.40E-43,1.66E-42
GADD45B,-1.188385816,3.55E-43,2.45E-42
RNF175,1.311778689,3.94E-43,2.71E-42
ALDH2,-1.000578625,5.72E-43,3.93E-42
SCGB3A1,-2.325994132,5.78E-43,3.98E-42
SAMD15,1.43066774,6.07E-43,4.17E-42
ZKSCAN3,1.129960767,6.36E-43,4.37E-42
P2RY6,1.444545419,8.08E-43,5.55E-42
PLA2G2A,-2.660885386,8.99E-43,6.17E-42
C7,-1.945643039,9.20E-43,6.31E-42
IL33,-1.811116783,9.38E-43,6.43E-42
NKX6-1,-1.703900304,1.16E-42,7.95E-42
CLDN5,-1.285821701,1.61E-42,1.10E-41
RRM2,1.179379129,1.62E-42,1.11E-41
MPZL2,-1.183697285,2.39E-42,1.63E-41
GPR45,-1.725523866,2.47E-42,1.68E-41
PRUNE2,-2.205493688,3.44E-42,2.33E-41
OXT,-1.550136818,3.89E-42,2.64E-41
NCAM1,-1.9907765,4.21E-42,2.85E-41
CTRB2,-2.661395283,4.42E-42,2.99E-41
ITSN2,-1.007857304,4.46E-42,3.01E-41
LDHD,-1.446595767,5.33E-42,3.60E-41
NUDT12,-1.003451993,5.34E-42,3.60E-41
SYNGR1,-1.269172205,5.51E-42,3.71E-41
SBSN,-1.879743389,5.85E-42,3.94E-41
SYNPO2,-2.027451674,6.35E-42,4.27E-41
DBF4,1.284043533,6.79E-42,4.56E-41
ICA1,-1.485991967,7.51E-42,5.04E-41
ADAMTS2,1.216021928,7.54E-42,5.06E-41
CD80,1.731680211,8.69E-42,5.81E-41
EMX1,1.568729843,1.17E-41,7.80E-41
SCN2B,-1.352339533,1.18E-41,7.89E-41
ADORA2B,1.011952716,1.23E-41,8.20E-41
KIF3C,1.295610738,1.34E-41,8.90E-41
TXK,-1.160032656,1.39E-41,9.23E-41
GJC1,-1.50860367,1.44E-41,9.54E-41
NCOA1,-1.011416373,1.64E-41,1.09E-40
PLEKHG4,1.42367104,1.66E-41,1.10E-40
EBLN1,1.498598757,2.03E-41,1.34E-40
ACTG2,-1.457727713,2.06E-41,1.37E-40
AKR1C1,2.177713381,2.44E-41,1.61E-40
SLC10A4,2.355393653,2.50E-41,1.65E-40
ZBTB7C,-1.460903557,2.54E-41,1.68E-40
OR8J3,1.066833823,2.55E-41,1.68E-40
LIMS2,-1.539345934,2.72E-41,1.79E-40
BTG2,-1.065469514,2.90E-41,1.91E-40
PHLDB2,1.319140923,2.93E-41,1.92E-40
ARHGAP32,-1.285334555,3.39E-41,2.23E-40
CCDC3,-1.09038305,3.68E-41,2.41E-40
PTH1R,-1.348946628,4.06E-41,2.66E-40
CARNS1,-1.007749798,5.42E-41,3.54E-40
EPHX3,-1.602426726,6.35E-41,4.14E-40
DSC1,2.494494199,6.58E-41,4.29E-40
EPN3,-1.202150812,6.96E-41,4.54E-40
OR2Z1,-1.472274293,8.16E-41,5.31E-40
CD14,1.106265593,8.35E-41,5.43E-40
ADCY5,-1.765554566,8.55E-41,5.56E-40
GCSAML,-1.553652003,8.83E-41,5.74E-40
CLDN16,1.484720043,9.27E-41,6.02E-40
PLS1,-1.3446403,1.06E-40,6.85E-40
PLPP2,1.086612189,1.15E-40,7.44E-40
FAM234B,1.006551151,1.22E-40,7.86E-40
CT83,2.879401476,1.33E-40,8.60E-40
CELA3A,-1.906346208,1.38E-40,8.90E-40
SCGB1D2,-2.688478815,1.40E-40,9.04E-40
FOLR1,-2.187319849,1.52E-40,9.77E-40
FOSB,-1.512747104,1.53E-40,9.84E-40
SLC44A5,1.844786254,1.65E-40,1.06E-39
EMILIN2,1.18186967,1.70E-40,1.09E-39
STARD9,-1.274928006,1.76E-40,1.13E-39
TDRD5,1.931278015,1.83E-40,1.18E-39
RAB42,1.173825356,1.90E-40,1.22E-39
BCL2A1,1.662200084,1.91E-40,1.23E-39
ACOXL,1.153284633,1.93E-40,1.23E-39
SLC6A16,-1.14890838,2.13E-40,1.36E-39
CPT1C,1.176718815,2.45E-40,1.56E-39
DSG3,-1.363666561,2.64E-40,1.69E-39
HMGN5,-1.12379167,2.70E-40,1.73E-39
COL9A3,1.933971456,2.80E-40,1.79E-39
VGF,1.854629616,3.10E-40,1.98E-39
DMRT1,2.030016046,3.24E-40,2.06E-39
JCHAIN,-1.838825038,3.46E-40,2.20E-39
XCL1,1.314840733,3.52E-40,2.24E-39
TBX1,1.363839955,4.84E-40,3.06E-39
HOXA4,-1.059528929,6.45E-40,4.07E-39
KCNA7,-1.831708042,7.11E-40,4.48E-39
OR6C76,-1.961647366,7.46E-40,4.70E-39
ABAT,-1.24547897,7.87E-40,4.95E-39
FAM174B,-1.15684916,9.84E-40,6.18E-39
FAM162B,-1.25628826,1.16E-39,7.29E-39
KBTBD12,-1.644876811,1.61E-39,1.01E-38
PHLDA1,-1.078072547,2.00E-39,1.25E-38
C12orf60,1.066218119,2.54E-39,1.59E-38
C1orf226,1.448017599,2.71E-39,1.69E-38
GABBR2,1.872526128,2.77E-39,1.72E-38
HRCT1,-1.431469104,2.98E-39,1.85E-38
TACR2,-1.474275393,3.27E-39,2.04E-38
PID1,-1.468968835,3.58E-39,2.22E-38
BAALC,2.092572986,3.92E-39,2.43E-38
COX7B2,2.998791168,4.20E-39,2.60E-38
GUCY1A2,1.39159377,4.20E-39,2.60E-38
PRELP,-1.720565554,4.32E-39,2.67E-38
GNG7,-1.330043943,4.54E-39,2.81E-38
RTTN,1.039896566,4.57E-39,2.82E-38
IGSF9,1.193094797,4.95E-39,3.06E-38
MS4A2,-1.502122378,5.04E-39,3.11E-38
RDH12,-1.901293421,5.48E-39,3.38E-38
DIXDC1,-1.188814567,5.58E-39,3.44E-38
TPM2,-1.212831492,5.65E-39,3.48E-38
LIFR,-1.517447742,6.19E-39,3.80E-38
FN1,1.477094156,6.49E-39,3.98E-38
MAP3K9,-1.141757046,6.51E-39,3.99E-38
SEMA3C,1.485369252,7.30E-39,4.48E-38
TLX2,1.571614717,7.51E-39,4.60E-38
TMEM253,-1.075804034,8.28E-39,5.07E-38
ZEB2,-1.082595613,9.46E-39,5.78E-38
JADE2,1.047952114,9.95E-39,6.07E-38
SIGLEC12,1.530644159,1.10E-38,6.69E-38
ECE1,1.008491367,1.21E-38,7.36E-38
NTN1,-1.137782113,1.38E-38,8.40E-38
PON3,1.697645201,1.50E-38,9.10E-38
FRMD3,-1.20435718,1.61E-38,9.72E-38
TAGLN,-1.252461223,1.72E-38,1.04E-37
ROS1,2.192851961,1.88E-38,1.14E-37
SH3BP4,1.121699282,2.14E-38,1.29E-37
ANKRD18B,-1.427276842,2.40E-38,1.44E-37
COL16A1,1.181571997,2.42E-38,1.46E-37
PPP1R3B,-1.03195571,2.84E-38,1.71E-37
PRDM1,-1.091393062,4.02E-38,2.40E-37
ASB5,-2.368092736,5.84E-38,3.48E-37
SLC35G2,1.117495114,6.65E-38,3.96E-37
BSPRY,-1.208591999,7.36E-38,4.37E-37
ELAVL2,2.138114072,7.43E-38,4.41E-37
ZNF618,1.144913256,8.49E-38,5.03E-37
PNLDC1,2.672604708,8.60E-38,5.10E-37
SLC44A4,-2.325501261,9.02E-38,5.34E-37
SLITRK5,-1.824416115,9.98E-38,5.90E-37
B4GALNT4,1.515387927,1.03E-37,6.07E-37
DRD1,-1.247810808,1.08E-37,6.34E-37
KLHL41,-1.216895378,1.17E-37,6.89E-37
EPHB1,1.674350185,1.18E-37,6.96E-37
TNFAIP3,1.202834864,1.20E-37,7.06E-37
FLYWCH1,1.124861711,1.20E-37,7.07E-37
GPRASP1,-1.024071186,1.51E-37,8.84E-37
IL20,1.853748321,1.54E-37,9.04E-37
ARHGEF38,-1.55556405,1.55E-37,9.12E-37
SLC16A9,-1.423144006,1.57E-37,9.18E-37
ATP8A1,-1.296915916,2.09E-37,1.22E-36
ADAMTSL1,-1.582292367,2.63E-37,1.54E-36
LRTOMT,-1.027887726,2.65E-37,1.55E-36
SMPD3,-1.466911482,2.76E-37,1.61E-36
COX6B2,1.569604715,2.96E-37,1.72E-36
KRTAP20-1,-1.501524887,3.11E-37,1.81E-36
ADAMDEC1,1.803087811,3.21E-37,1.87E-36
CCL26,1.4887151,3.46E-37,2.01E-36
BMX,-1.251747717,3.63E-37,2.11E-36
ADGRE2,1.172810592,4.25E-37,2.47E-36
S100A8,-1.54058317,4.31E-37,2.50E-36
ADIRF,-3.010835685,4.48E-37,2.59E-36
SCN2A,1.733076579,5.29E-37,3.06E-36
MROH6,-1.160176728,5.36E-37,3.10E-36
KCNMA1,-1.631140492,5.47E-37,3.16E-36
PROS1,-1.029275044,5.53E-37,3.19E-36
DPYSL4,1.813486613,5.72E-37,3.30E-36
HDC,-1.116597462,6.87E-37,3.96E-36
MISP3,-1.033066936,8.43E-37,4.85E-36
DGKB,-1.748833398,8.91E-37,5.13E-36
LDLRAD1,-1.876826385,8.94E-37,5.14E-36
MSI1,1.470003951,9.63E-37,5.53E-36
STK31,1.527228373,9.69E-37,5.56E-36
GAD1,1.708772637,9.98E-37,5.72E-36
JPH2,-1.587606902,1.11E-36,6.37E-36
IGSF10,-1.77351542,1.16E-36,6.62E-36
MTUS2,-1.449586499,1.24E-36,7.08E-36
HAS3,1.531961583,1.24E-36,7.09E-36
IGHMBP2,1.234464163,1.44E-36,8.24E-36
LCN10,-1.043881086,1.72E-36,9.79E-36
PDGFRL,1.761385752,1.78E-36,1.01E-35
CCDC110,-1.194418538,1.81E-36,1.03E-35
GXYLT2,1.539689873,1.90E-36,1.08E-35
EGFL6,1.268730363,2.01E-36,1.14E-35
PYM1,-1.005257873,2.28E-36,1.29E-35
PLBD1,-1.001347096,2.47E-36,1.39E-35
BST2,1.456768891,2.50E-36,1.41E-35
CDHR5,-1.505238075,2.72E-36,1.53E-35
SIGLEC15,1.07868209,2.83E-36,1.60E-35
NLGN3,-1.237932208,3.13E-36,1.76E-35
ATP4A,-2.5911204,3.92E-36,2.21E-35
CYP24A1,2.155675033,4.07E-36,2.28E-35
RELN,-1.719217391,4.62E-36,2.59E-35
LGI4,-1.298564086,4.84E-36,2.72E-35
FAM24B,1.056810383,5.45E-36,3.05E-35
M1AP,2.09639412,5.80E-36,3.24E-35
SST,-2.77650118,6.67E-36,3.72E-35
TBX3,1.059556213,7.17E-36,4.00E-35
ISLR,1.132622714,7.71E-36,4.30E-35
TBX20,2.715275821,8.99E-36,5.00E-35
HPSE,-1.1320756,9.52E-36,5.29E-35
SERPINB8,-1.014303288,1.14E-35,6.36E-35
ARRB1,-1.034818755,1.33E-35,7.41E-35
CAMK1G,1.499890658,1.35E-35,7.50E-35
UPK2,-1.426872729,1.51E-35,8.37E-35
PLEKHG6,-1.273121343,1.52E-35,8.42E-35
SLPI,-1.508815211,1.62E-35,8.98E-35
ATP8B3,1.513969788,1.75E-35,9.67E-35
HLA-DQB2,-1.713081966,1.91E-35,1.06E-34
MAGEC3,-1.053012382,2.37E-35,1.30E-34
RAC3,1.273307081,2.74E-35,1.51E-34
GDPD2,2.071178122,2.92E-35,1.60E-34
RALGPS1,-1.176136082,3.14E-35,1.72E-34
CAMK2N1,-1.046414099,3.40E-35,1.87E-34
SCGB1D4,-2.512373594,3.83E-35,2.10E-34
ACADL,-1.797289969,4.09E-35,2.24E-34
REG4,-2.282585894,5.54E-35,3.02E-34
FAM24A,1.399927955,6.22E-35,3.39E-34
CTLA4,1.265337989,6.29E-35,3.42E-34
TMEM252,-1.697488732,6.81E-35,3.70E-34
BNC1,1.264286197,1.07E-34,5.79E-34
GPR68,1.186487643,1.14E-34,6.18E-34
SH3RF2,-1.074234422,1.35E-34,7.30E-34
C16orf89,-1.321955313,1.38E-34,7.47E-34
NTN4,-1.030245049,1.47E-34,7.95E-34
AGMAT,1.044065495,1.48E-34,7.97E-34
DAGLA,-1.814186425,1.58E-34,8.53E-34
AQP10,1.491912453,1.69E-34,9.11E-34
WT1,1.864105024,1.82E-34,9.76E-34
TGM6,1.743217064,2.01E-34,1.08E-33
OSMR,1.037236201,2.13E-34,1.14E-33
SELENOP,-1.255192577,2.25E-34,1.21E-33
SLC7A8,1.16772693,2.28E-34,1.22E-33
NKX3-2,1.56086366,2.56E-34,1.37E-33
ENTPD7,1.029734906,2.65E-34,1.42E-33
DUOXA2,-1.373464716,2.72E-34,1.46E-33
PMP2,-1.601773001,2.90E-34,1.55E-33
RNF125,-1.110158854,3.10E-34,1.65E-33
C19orf84,1.639659609,3.25E-34,1.73E-33
RAI2,-1.146080756,3.29E-34,1.75E-33
PBX1,-1.050606745,3.31E-34,1.76E-33
SCGB1D1,-2.557370424,3.46E-34,1.84E-33
ZBED2,-1.41740984,3.66E-34,1.95E-33
PC,1.041186259,3.87E-34,2.05E-33
SOWAHB,-1.386596875,3.90E-34,2.07E-33
RND1,-1.477896336,3.99E-34,2.12E-33
RHPN1,1.123927267,4.16E-34,2.21E-33
CASQ1,-1.454173497,4.25E-34,2.25E-33
CNTNAP3,-1.263901235,4.28E-34,2.27E-33
ABCC1,1.03269332,5.21E-34,2.76E-33
COL24A1,1.294308234,7.25E-34,3.83E-33
TM4SF4,-1.663243261,8.00E-34,4.21E-33
SHISA3,-1.96534053,8.35E-34,4.39E-33
LEP,-1.840925855,9.22E-34,4.85E-33
RGS7,-1.383372938,9.51E-34,5.00E-33
SLC18A2,-1.234515232,1.06E-33,5.56E-33
IMPA2,-1.008649791,1.13E-33,5.90E-33
POTEB2,1.457631342,1.15E-33,6.04E-33
WNT7A,1.398733618,1.21E-33,6.36E-33
WDR86,1.359991836,1.35E-33,7.03E-33
KL,-1.327630419,1.60E-33,8.35E-33
FTCD,-1.208147874,1.64E-33,8.55E-33
CYP27C1,1.603161376,1.65E-33,8.58E-33
DYRK3,1.000431078,1.70E-33,8.87E-33
MT1H,-1.713660484,1.85E-33,9.65E-33
GDA,1.859104448,2.26E-33,1.17E-32
TRIM9,1.589170353,2.40E-33,1.25E-32
RGS9BP,-1.438607574,2.42E-33,1.26E-32
DNAH5,1.719667006,2.43E-33,1.26E-32
KLHL31,1.299192866,2.54E-33,1.32E-32
TNS3,1.033479578,2.87E-33,1.49E-32
PHLDB3,-1.003133797,2.92E-33,1.51E-32
IL1B,1.441119699,3.14E-33,1.62E-32
VANGL2,1.054267619,3.16E-33,1.63E-32
BARHL2,-1.475190333,3.27E-33,1.69E-32
RTP3,2.261721118,3.62E-33,1.87E-32
DIO2,-1.040177841,3.76E-33,1.94E-32
DCBLD2,1.173966398,3.79E-33,1.95E-32
P3H2,1.413635435,4.06E-33,2.09E-32
GIPC3,-1.152424027,4.11E-33,2.12E-32
RTN4RL2,1.079424157,4.21E-33,2.17E-32
CCDC140,1.95089071,4.32E-33,2.22E-32
SYCE2,1.10428305,5.34E-33,2.74E-32
TNIP3,1.538563269,6.07E-33,3.11E-32
KRT222,-1.68201668,6.18E-33,3.17E-32
