SYMBOL,log2FoldChange,pvalue,padj
CENPQ,1.073341497,1.30E-72,1.92E-71
CNFN,-2.415970388,1.52E-72,2.24E-71
SLC24A3,-1.755686256,1.74E-72,2.56E-71
AR,-1.579497717,1.76E-72,2.59E-71
XRCC3,1.105121353,1.94E-72,2.83E-71
NETO1,2.078683125,2.17E-72,3.17E-71
PRSS1,-2.896723448,2.38E-72,3.48E-71
PPP4R4,2.67375325,2.91E-72,4.24E-71
CDCA7L,1.345113935,3.07E-72,4.47E-71
CYP2C8,-2.138645025,3.10E-72,4.52E-71
MIEF2,-1.206929554,3.67E-72,5.33E-71
ALDH3A2,-1.188558582,3.80E-72,5.52E-71
PLEKHA7,-1.55870333,4.85E-72,7.03E-71
ORC1,1.333099423,8.76E-72,1.27E-70
MS4A8,-3.108444206,1.77E-71,2.56E-70
RGS5,-1.393994161,1.97E-71,2.85E-70
MSX2,2.380240454,2.00E-71,2.89E-70
MSANTD3,1.328698827,4.55E-71,6.54E-70
KRT32,-1.899219456,5.93E-71,8.51E-70
THOC6,1.010716319,7.24E-71,1.04E-69
ABR,-1.092452248,9.22E-71,1.32E-69
DPT,-2.055173618,9.73E-71,1.39E-69
PLAUR,1.564469226,1.02E-70,1.46E-69
PRIM1,1.069026606,1.04E-70,1.48E-69
HPSE2,-3.064944908,1.05E-70,1.50E-69
TMIE,-1.70607685,1.29E-70,1.83E-69
CPNE8,1.359451934,1.55E-70,2.20E-69
CNTNAP2,2.764035924,1.93E-70,2.73E-69
TTC22,-1.589039616,2.12E-70,2.99E-69
DAAM2,-1.885687115,2.38E-70,3.36E-69
OSBPL10,-1.03415637,2.42E-70,3.41E-69
CLIP1,-1.005713163,2.60E-70,3.66E-69
GALE,-1.513672603,3.09E-70,4.36E-69
SESN2,-1.372735074,3.39E-70,4.77E-69
KREMEN2,2.296567002,3.75E-70,5.27E-69
SECISBP2L,-1.366505611,4.88E-70,6.85E-69
PLXNA2,-1.455241384,6.21E-70,8.71E-69
COBL,-2.072058997,6.81E-70,9.53E-69
ITGA7,-1.630999823,6.96E-70,9.74E-69
PDXP,1.260744179,8.46E-70,1.18E-68
LRRC31,-2.719820814,8.66E-70,1.21E-68
OCLN,-1.95846255,1.08E-69,1.50E-68
LIN9,1.12714742,1.18E-69,1.64E-68
CDT1,1.565227041,1.28E-69,1.78E-68
GKN1,-4.825719306,1.45E-69,2.01E-68
P4HA2,1.178002214,1.59E-69,2.20E-68
EPHA1,-1.358602474,1.67E-69,2.31E-68
ERVMER34-1,1.808070046,1.88E-69,2.59E-68
SLC39A6,1.380064058,2.06E-69,2.82E-68
CCNE2,1.350575207,2.55E-69,3.50E-68
CDSN,3.285493924,2.90E-69,3.98E-68
MUC15,-2.41525621,2.99E-69,4.10E-68
SELENBP1,-1.830159646,3.02E-69,4.12E-68
RNASE4,-1.676086928,3.17E-69,4.33E-68
CTSK,1.774215672,3.89E-69,5.31E-68
SPINT1,-1.291221794,3.91E-69,5.33E-68
FOXL1,2.018123945,4.20E-69,5.71E-68
CELSR3,1.777684411,4.93E-69,6.70E-68
SERPINB2,-2.56525308,8.64E-69,1.17E-67
ACVR1,1.027934918,9.36E-69,1.27E-67
ALAD,-1.000728035,1.18E-68,1.59E-67
MINPP1,1.3411691,1.36E-68,1.83E-67
TICRR,1.21819273,1.70E-68,2.29E-67
MYL5,-1.45980687,1.73E-68,2.32E-67
FOXL2,2.517891588,2.25E-68,3.02E-67
ZG16B,-3.31747034,2.40E-68,3.23E-67
EPOP,1.677382668,2.46E-68,3.30E-67
MBD2,-1.519598428,2.58E-68,3.45E-67
ARHGEF39,1.265628539,2.91E-68,3.89E-67
BEX4,-1.590210628,4.29E-68,5.71E-67
MFHAS1,1.460159056,4.90E-68,6.52E-67
RFC3,1.256341645,4.91E-68,6.52E-67
RPL39L,1.585160121,5.51E-68,7.30E-67
TST,-1.266304034,6.71E-68,8.87E-67
SLC2A1,1.519009483,8.25E-68,1.09E-66
DAPP1,-1.556032745,8.69E-68,1.15E-66
CSRP1,-1.334088543,9.41E-68,1.24E-66
NRSN2,1.032604636,1.09E-67,1.44E-66
FGF5,-1.54958974,1.25E-67,1.65E-66
UAP1L1,1.305317677,1.26E-67,1.66E-66
GREM2,-2.02564326,1.44E-67,1.89E-66
EHF,-1.987691214,1.78E-67,2.33E-66
PRSS21,2.917919261,1.80E-67,2.35E-66
GNAO1,-1.669307183,1.93E-67,2.52E-66
SSC4D,1.479314824,2.13E-67,2.77E-66
NMB,1.63744973,2.34E-67,3.05E-66
DDAH1,-1.447360197,2.88E-67,3.75E-66
PDZRN4,-2.44614894,2.91E-67,3.79E-66
PGBD5,2.078966776,3.10E-67,4.03E-66
CYP2C18,-2.371848989,3.12E-67,4.05E-66
APOLD1,-1.332129565,3.22E-67,4.18E-66
FBXL16,-1.72173034,3.26E-67,4.22E-66
ESAM,-1.122891856,3.89E-67,5.04E-66
MYOZ1,-2.157110396,4.36E-67,5.63E-66
ZPLD1,2.255856245,4.38E-67,5.65E-66
LAGE3,1.119231609,4.65E-67,5.99E-66
SAC3D1,1.132702198,5.06E-67,6.52E-66
L3HYPDH,1.147494801,5.15E-67,6.63E-66
SCN8A,1.984825502,5.85E-67,7.52E-66
PLLP,-1.768864536,6.04E-67,7.75E-66
NCAPD2,1.036960972,7.13E-67,9.14E-66
CRISP2,-3.024219179,1.32E-66,1.69E-65
CNTN5,2.774512178,1.42E-66,1.82E-65
ZNF367,1.227303298,1.44E-66,1.84E-65
SCARB1,1.23612537,1.49E-66,1.90E-65
MPPED1,3.094777712,1.51E-66,1.92E-65
KCNS3,1.579125171,1.59E-66,2.02E-65
RGS14,-1.099211007,1.60E-66,2.04E-65
CXCL10,2.504205566,1.87E-66,2.37E-65
C3orf20,-1.858742238,2.10E-66,2.66E-65
IKBIP,1.314423808,2.19E-66,2.77E-65
CHST7,1.606552559,2.39E-66,3.02E-65
PRR9,3.98981711,2.88E-66,3.64E-65
KIF15,1.241794457,3.92E-66,4.95E-65
COBLL1,-1.209954211,4.48E-66,5.64E-65
KRT4,-2.962107746,5.86E-66,7.37E-65
PSRC1,1.077314263,6.02E-66,7.57E-65
TMEM185B,1.124228633,7.75E-66,9.72E-65
GCHFR,-1.177447432,7.89E-66,9.89E-65
COA6,1.173627407,8.02E-66,1.00E-64
ZNF280C,1.115052491,8.12E-66,1.02E-64
RSPO2,-2.441557745,9.25E-66,1.15E-64
CYP4B1,-2.991115342,9.57E-66,1.19E-64
DNASE1L3,-2.377203606,9.76E-66,1.22E-64
NFE2L3,1.420254483,1.07E-65,1.34E-64
NEBL,-1.758041143,1.30E-65,1.61E-64
HMGCS2,-3.109657212,1.75E-65,2.18E-64
TGIF2,1.300264939,1.76E-65,2.18E-64
TMEM38B,1.199415092,1.89E-65,2.34E-64
SLCO2A1,-1.496603859,1.94E-65,2.40E-64
FADS3,1.290007629,2.27E-65,2.81E-64
SPRY4,1.36729133,2.37E-65,2.92E-64
HAUS8,1.060814238,2.46E-65,3.04E-64
CPPED1,-1.486263073,2.81E-65,3.46E-64
CHAD,-1.970424056,3.08E-65,3.79E-64
RNF213,1.279353085,3.22E-65,3.96E-64
LAMB1,1.102966029,4.31E-65,5.28E-64
STXBP5,-1.020849693,6.14E-65,7.50E-64
RPL3L,2.087573966,7.40E-65,9.02E-64
NPBWR1,2.415621062,7.66E-65,9.32E-64
HLA-C,1.132663053,9.44E-65,1.15E-63
C6orf58,-4.046462188,1.23E-64,1.49E-63
CLN8,-1.243387116,1.23E-64,1.50E-63
CHST11,1.780718859,1.24E-64,1.51E-63
PCP4,-2.79090862,1.39E-64,1.68E-63
AIM2,2.387481999,1.55E-64,1.86E-63
FBXO43,1.810874854,1.70E-64,2.04E-63
C21orf62,-1.780024598,1.71E-64,2.05E-63
MFSD2B,-1.111918967,1.79E-64,2.15E-63
GPX7,1.624895347,2.19E-64,2.63E-63
CCDC69,-1.890100139,2.84E-64,3.40E-63
SCGB2A2,-3.624983042,3.11E-64,3.72E-63
TCF21,-1.906855433,3.46E-64,4.13E-63
ANO10,-1.082708261,3.76E-64,4.48E-63
NAAA,-1.245916725,3.83E-64,4.56E-63
MAGEA1,3.680779034,4.26E-64,5.07E-63
KCNMB3,1.469981619,4.33E-64,5.16E-63
ZNF449,-1.612053248,4.55E-64,5.40E-63
PIM1,-1.397691655,5.42E-64,6.43E-63
EVPLL,-2.026279021,7.96E-64,9.42E-63
EXOSC4,1.095284528,8.35E-64,9.88E-63
SYNM,-2.336396135,1.03E-63,1.22E-62
HTR1E,-2.507908251,1.05E-63,1.24E-62
ZNF750,-1.817100502,1.12E-63,1.32E-62
COCH,2.5873277,1.38E-63,1.62E-62
LMOD1,-2.276976596,1.97E-63,2.31E-62
MFSD5,-1.014100913,2.23E-63,2.62E-62
TSPAN6,-1.20494984,2.71E-63,3.17E-62
MYOC,-3.553921229,3.44E-63,4.03E-62
PANX1,1.180606853,3.65E-63,4.27E-62
FAM25A,-2.589104128,4.60E-63,5.38E-62
RALGPS2,-1.310504354,4.65E-63,5.44E-62
SLC10A5,-2.269409688,4.97E-63,5.80E-62
PAX9,-2.177859831,6.45E-63,7.50E-62
CITED2,-1.29695634,6.97E-63,8.08E-62
CRCT1,-2.627514654,7.33E-63,8.50E-62
TMSB15A,2.524597927,7.77E-63,8.99E-62
ESCO2,1.458877603,1.01E-62,1.16E-61
IL31RA,2.054516101,1.49E-62,1.72E-61
PDE8B,-1.351276789,1.87E-62,2.15E-61
CBX7,-1.347573813,2.06E-62,2.37E-61
PHYHIPL,-1.787390091,2.33E-62,2.68E-61
NID2,1.543176997,2.76E-62,3.17E-61
NRCAM,2.504781715,3.50E-62,4.01E-61
PIGN,-1.074934476,3.53E-62,4.04E-61
IGF2BP3,-1.914784072,3.53E-62,4.04E-61
LMO2,-1.212366318,3.97E-62,4.54E-61
IRS1,1.35432572,4.02E-62,4.58E-61
SPRR3,-2.717234435,4.09E-62,4.66E-61
SPOCK1,1.878737462,4.34E-62,4.95E-61
SH3BGR,-1.581964827,4.40E-62,5.01E-61
BASP1,1.319400144,5.45E-62,6.18E-61
TMEM177,1.142550481,6.41E-62,7.27E-61
TYMP,1.070276525,7.66E-62,8.68E-61
AQP3,-2.010849951,9.54E-62,1.08E-60
IFITM1,1.245795717,1.13E-61,1.28E-60
ASPN,1.961394579,1.17E-61,1.32E-60
PNPLA1,2.660781054,1.22E-61,1.37E-60
HOXD8,1.337656329,1.23E-61,1.38E-60
BRCA2,1.120908192,1.23E-61,1.38E-60
PTCHD1,-2.332993849,1.37E-61,1.54E-60
CHP2,2.63063166,1.76E-61,1.98E-60
SDK1,1.762392689,2.05E-61,2.29E-60
PACSIN1,-1.989444867,2.06E-61,2.31E-60
SCIN,-1.897310683,2.29E-61,2.56E-60
CA9,2.89912879,2.68E-61,3.00E-60
MAGEC1,3.654394805,2.69E-61,3.01E-60
TPRG1,-2.079698443,3.70E-61,4.12E-60
IFI35,1.533330038,3.89E-61,4.33E-60
CSRNP1,-1.251651706,4.61E-61,5.13E-60
CLDN17,-2.908278375,4.80E-61,5.33E-60
AMIGO2,1.695908914,5.00E-61,5.55E-60
FAM135A,-1.381775742,5.14E-61,5.70E-60
SERPINB13,-2.086350824,5.58E-61,6.17E-60
UNC13B,-1.091509946,5.80E-61,6.41E-60
ATAD2,1.307943207,5.89E-61,6.51E-60
CENPH,1.142934257,6.18E-61,6.82E-60
DLX5,1.975208605,7.61E-61,8.39E-60
TF,-2.451234437,9.25E-61,1.02E-59
SLC6A2,2.113737849,1.03E-60,1.13E-59
MUC7,-2.974972601,1.61E-60,1.76E-59
MRPL21,1.274038328,1.93E-60,2.11E-59
CFP,-1.252596714,1.96E-60,2.14E-59
KLHDC8B,-1.162248342,2.10E-60,2.29E-59
SLC7A11,2.320104976,2.39E-60,2.60E-59
SHCBP1,1.382105247,2.59E-60,2.82E-59
TACSTD2,-1.414554001,2.85E-60,3.10E-59
SLC9A9,-1.427326374,3.66E-60,3.97E-59
KDELR3,1.554946258,4.18E-60,4.54E-59
HOXB13,3.08630878,4.51E-60,4.88E-59
WFDC1,-1.641885085,4.51E-60,4.89E-59
LDLRAD2,-1.64345561,6.81E-60,7.36E-59
LRRC46,-1.393321309,8.07E-60,8.71E-59
NKX2-1,2.568493828,8.36E-60,9.01E-59
CLDN7,-1.731506205,9.36E-60,1.01E-58
NLRP7,2.184291234,1.13E-59,1.21E-58
MAST4,-1.044027533,1.18E-59,1.26E-58
MYO5B,-1.543521081,1.20E-59,1.28E-58
GPR50,2.991862276,1.70E-59,1.81E-58
CCDC71L,1.035838872,1.76E-59,1.88E-58
B3GNT6,-2.491512506,1.78E-59,1.89E-58
RCOR2,1.670021072,2.18E-59,2.32E-58
ETV5,1.776668309,2.22E-59,2.36E-58
SLC12A8,1.278062162,2.24E-59,2.38E-58
C7orf57,-1.947140743,2.24E-59,2.38E-58
MAB21L3,-2.252717005,2.49E-59,2.65E-58
DDHD1,1.139090513,2.96E-59,3.14E-58
CCDC178,-1.694505396,3.27E-59,3.46E-58
FOXC1,1.487633394,3.70E-59,3.92E-58
GRHL1,-1.732527775,3.94E-59,4.17E-58
EPCAM,1.628505088,4.17E-59,4.41E-58
GLTP,-1.158662074,5.00E-59,5.27E-58
CDH8,1.726397658,5.52E-59,5.82E-58
GC,-3.22371436,5.63E-59,5.94E-58
RASAL1,-1.652095981,6.18E-59,6.51E-58
OTX1,1.475776033,6.55E-59,6.89E-58
TMEM200A,1.776387056,6.79E-59,7.13E-58
SPRY1,-1.128727264,6.96E-59,7.30E-58
SLC22A4,1.257193503,7.88E-59,8.25E-58
GBP1,1.523150275,8.68E-59,9.08E-58
MTMR10,-1.405046679,9.32E-59,9.75E-58
BDH2,-1.095526734,9.98E-59,1.04E-57
RAB27B,-1.410055576,1.12E-58,1.17E-57
PKHD1L1,-1.89729458,1.18E-58,1.23E-57
KRTAP4-1,-2.322612717,1.19E-58,1.24E-57
LAMP3,1.682879173,1.20E-58,1.25E-57
RUNDC3B,-1.562593454,1.89E-58,1.95E-57
GATM,-1.636306969,2.03E-58,2.10E-57
F2RL2,1.924476317,2.34E-58,2.42E-57
VSIG10,-1.499327982,2.40E-58,2.48E-57
GPR84,1.327421883,2.65E-58,2.73E-57
SLC16A1,1.355778013,2.78E-58,2.86E-57
KCND2,1.420364182,2.94E-58,3.02E-57
CASP14,3.253208531,3.10E-58,3.18E-57
CLDN20,2.540508663,3.72E-58,3.82E-57
MECOM,-1.560087177,5.72E-58,5.84E-57
DCLK1,-2.059487329,5.82E-58,5.93E-57
TCHHL1,2.625014405,5.83E-58,5.94E-57
GABRR1,2.137612249,6.97E-58,7.10E-57
VAT1,-1.257087774,7.10E-58,7.22E-57
SIX2,2.262922332,7.21E-58,7.33E-57
DYNLT3,-1.2019683,7.69E-58,7.80E-57
NXPE4,-2.816693078,7.68E-58,7.80E-57
KLK12,-2.61858968,8.34E-58,8.46E-57
RGS7BP,-1.647373656,9.19E-58,9.31E-57
PCOLCE,1.440124027,9.35E-58,9.47E-57
DIAPH3,1.016636059,9.77E-58,9.89E-57
ANKS1B,-1.715136634,1.03E-57,1.04E-56
CAPZB,-1.386274364,1.06E-57,1.07E-56
ANKRD22,-1.596333618,1.33E-57,1.34E-56
MYOM1,-1.817376508,1.44E-57,1.45E-56
DSPP,1.96248827,1.45E-57,1.45E-56
QSOX1,-1.001079269,1.71E-57,1.72E-56
MUC5B,-3.177685027,2.02E-57,2.03E-56
NUSAP1,1.099953193,2.29E-57,2.30E-56
PHACTR4,-1.03109969,2.31E-57,2.31E-56
DENND2D,-1.067467595,3.44E-57,3.43E-56
CH25H,-1.860364202,3.47E-57,3.46E-56
MAGEA3,3.96556835,4.03E-57,4.01E-56
MAGEB2,3.309800812,4.28E-57,4.26E-56
PPFIBP2,-1.252231862,4.43E-57,4.41E-56
TP63,1.389373369,5.82E-57,5.78E-56
GPNMB,1.390942843,6.25E-57,6.19E-56
SLC2A6,1.607759934,6.45E-57,6.39E-56
RUSC2,-1.182719,8.06E-57,7.96E-56
MPC1,-1.058024944,8.81E-57,8.69E-56
C6,-1.803524053,9.02E-57,8.89E-56
CAV2,1.109297439,9.12E-57,8.99E-56
SPATA17,1.811280674,9.82E-57,9.67E-56
SKA3,1.326447131,1.08E-56,1.06E-55
CASK,1.005982484,1.16E-56,1.13E-55
RNFT2,1.846596512,1.22E-56,1.19E-55
MED30,1.039638084,1.40E-56,1.37E-55
ACKR1,-2.491068929,1.67E-56,1.64E-55
ARHGAP40,-2.068572771,1.73E-56,1.70E-55
KCNMB1,-1.661924662,1.81E-56,1.77E-55
PDE7A,1.318669971,2.06E-56,2.01E-55
GAS7,-1.321008085,2.22E-56,2.17E-55
MTURN,-1.430178248,2.49E-56,2.43E-55
GSC,1.976049512,2.54E-56,2.48E-55
PROCR,1.34177569,2.57E-56,2.50E-55
C6orf15,2.984633743,3.29E-56,3.20E-55
KCNMB2,1.412552008,3.39E-56,3.30E-55
IFIT1,1.811134656,3.83E-56,3.72E-55
ANO5,-2.049965594,3.96E-56,3.84E-55
GLA,1.129024856,4.09E-56,3.96E-55
HERC5,1.649475205,5.74E-56,5.55E-55
GIPC1,-1.015287639,6.04E-56,5.83E-55
P2RX3,-1.759310587,6.05E-56,5.83E-55
ACACB,-1.610968149,6.76E-56,6.51E-55
LHFPL2,1.144101945,7.10E-56,6.84E-55
PDZD2,-1.466748256,7.73E-56,7.43E-55
FAM163B,-1.967861123,9.99E-56,9.59E-55
BOLL,1.552763017,1.13E-55,1.08E-54
MARVELD3,1.230637002,1.13E-55,1.09E-54
CGN,-1.507665003,1.29E-55,1.23E-54
TAP1,1.099084976,1.41E-55,1.34E-54
BHLHE40,-1.003032024,1.58E-55,1.51E-54
PLEKHN1,-1.312853996,1.72E-55,1.64E-54
PI16,-2.785732677,1.84E-55,1.75E-54
GAB1,-1.469444332,1.90E-55,1.81E-54
KBTBD3,-1.142015372,1.98E-55,1.89E-54
CYP2C9,-2.442971701,2.30E-55,2.18E-54
PPT1,1.24926095,2.38E-55,2.26E-54
ASPRV1,2.619385241,2.61E-55,2.47E-54
